name,wealth,country,year,age
"Wang, Nina",3.7,Hong Kong,2000,
"Al Rajhi, Saleh bin Abdul Aziz",3.6,Saudi Arabia,2000,
Lim Goh Tong,3.6,Malaysia,2000,
"Otsuka, Akihiko and family",3.6,Japan,2000,
"Sahenk, Ayhan and family",3.6,Turkey,2000,
"Al-Hariri, Rafik and family",3.5,Lebanon,2000,
"Bass, Robert Muse",3.5,United States,2000,
"Cisneros, Gustavo and family",3.5,Venezuela,2000,
"Jameel, Mohammed and family",3.5,Saudi Arabia,2000,
Schickedanz family,3.5,Germany,2000,
"Tsutsumi, Yoshiaki",3.5,Japan,2000,
Ng Teng Fong and Robert,3.4,Singapore,2000,
"Tschira, Klaus",3.4,Germany,2000,
"Branson, Richard",3.3,UK,2000,
"Bronfman, Charles R.",3.3,Canada,2000,
"Moller, Maersk Mc-Kinney",3.3,Denmark,2000,
"Kipp, Karl-Heinz",3.2,Germany,2000,
"Koo, Jeffrey and family",3.2,Taiwan,2000,
"Oetker, Rudolf and family",3.2,Germany,2000,
"Widjaja, Eka Tjipta",3.2,Indonesia,2000,
"Foriel-Destezet, Philippe",3.1,France,2000,
"Jinnai, Ryoichi",3.1,Japan,2000,
"Kristiansen, Kjeld Kirk",3.1,Denmark,2000,
"Chandra, Subhash",3,India,2000,
"Kamprad, Ingvar",3,Sweden,2000,
"Safra, Joseph and Moise",3,Brazil,2000,
Cheng Yu-tung,2.9,Hong Kong,2000,
"Hayek, Nicolas",2.9,Switzerland,2000,
"Schmid, Gerhard",2.9,Germany,2000,
"Skoll, Jeff",2.9,Canada,2000,
van Vlissingen family,2.9,Netherlands,2000,
"Vik, Alexander",2.9,Norway,2000,
"Bouygues, Martin",2.8,France,2000,
"Faria, Aloysio de Andrade",2.8,Brazil,2000,
"Funai, Tetsuro",2.8,Japan,2000,
"Itoyama, Eitaro",2.8,Japan,2000,
"Kuo, Terry",2.8,Taiwan,2000,
Lee Kun-hee and family,2.8,South Korea,2000,
"Oppenheimer, Nicky and family",2.8,South Africa,2000,
Khoo Teck Puat,2.7,Singapore,2000,
"Kokkalis, Socrates",2.7,Greece,2000,
"Yoshida, Tadahiro",2.7,Japan,2000,
"Kadoorie, Michael and family",2.6,Hong Kong,2000,
"Louis-Dreyfus, Gerard and family",2.6,France,2000,
"Jahr, John and family",2.5,Germany,2000,
"Mantegazza, Sergio",2.5,Switzerland,2000,
"Wertheimer, Alain",2.5,France,2000,
"Yamauchi, Hiroshi",2.5,Japan,2000,
"Al-Ghurair, Abdul-Aziz",2.4,UAE,2000,
"Fukutake, Soichiro",2.4,Japan,2000,
"Mann, Hugo and family",2.4,Germany,2000,
"Weston, Galen",2.4,Canada,2000,
"Fung, Victor & William",2.3,Hong Kong,2000,
"Schroder, Bruno",2.3,UK,2000,
"David-Weill, Michel",2.2,France,2000,
"Ecclestone, Bernard",2.2,UK,2000,
"Hopp, Dietmar and family",2.2,Germany,2000,
"Mikitani, Hiroshi",2.2,Japan,2000,
"O'Reilly, Anthony",2.2,Ireland,2000,
"Arison Dorsman, Shari",2.1,Israel,2000,
John T. Dorrance 3rd,2.1,Ireland,2000,
"Kampf, Serge",2.1,France,2000,
"Lede, David and Cliff",2.1,Canada,2000,
"Lowy, Frank",2.1,Australia,2000,
"Mendoza, Lorenzo and family",2.1,Venezuela,2000,
"Mittal, Lakshmi",2.1,India,2000,
"Ofer, Yuli and Sammy",2.1,Israel,2000,
"Perez Companc, Gregorio",2.1,Argentina,2000,
"Sawiris, Onsi and family",2.1,Egypt,2000,
"Tan, Lucio",2.1,Philippines,2000,
"Zambrano, Lorenzo",2.1,Mexico,2000,
"Al Jeraisy, Abdul Al Rahman",2,Saudia Arabia,2000,
"Ermirio de Moraes, Jose and Antonio",2,Brazil,2000,
"Garza Laguera, Eugenio and family",2,Mexico,2000,
"Goldschmeding, Frits",2,Netherlands,2000,
Kwek Leng Beng,2,Singapore,2000,
"Miyamoto, Masafumi",2,Japan,2000,
"Morita, Masao",2,Japan,2000,
"Rai, Vinay and family",2,India,2000,
"Schoerghuber, Stefan",2,Germany,2000,
Thurn und Taxis family,2,Germany,2000,
Verspieren family,2,France,2000,
"Ebner, Martin",1.9,Switzerland,2000,
"Matthews, Terry",1.9,U.K.,2000,
"Oppenheim, Alfred von",1.9,Germany,2000,
"Pattison, Jim",1.9,Canada,2000,
"Sherman, Bernard (Barry)",1.9,Canada,2000,
"Bamford, Sir Anthony and family",1.8,UK,2000,
"Fok, Henry",1.8,Hong Kong,2000,
"Hargreaves, John and family",1.8,U.K.,2000,
"Ho, Stanley",1.8,Hong Kong,2000,
Moores family,1.8,U.K.,2000,
Quek Leng Chan,1.8,Malaysia,2000,
"Sekiya, Kenichi",1.8,Japan,2000,
"Birla, Kumar Mangalam",1.7,India,2000,
"Blocher, Christoph",1.7,Switzerland,2000,
"Busujima, Kunio",1.7,Japan,2000,
Chang Yung-fa,1.7,Taiwan,2000,
"Lam, Barry",1.7,Taiwan,2000,
"Nambu, Yasuyuki",1.7,Japan,2000,
"Rogers, Edward S. (Ted)",1.7,Canada,2000,
Rothschild family,1.7,France/UK,2000,
"Shigeta, Yasumitsu",1.7,Japan,2000,
Brost family,1.6,Germany,2000,
"Champalimaud, Antonio and family",1.6,Portugal,2000,
Chen Din Hwa,1.6,Hong Kong,2000,
"Fortabat, Amalia Lacroze de",1.6,Argentina,2000,
Funke family,1.6,Germany,2000,
"Mabuchi, Kenichi family",1.6,Japan,2000,
"March, Juan and Carlos",1.6,Spain,2000,
"Pratt, Richard",1.6,Australia,2000,
"Robert, Jr. Bosch",1.6,Germany,2000,
"Uehara, Shoji",1.6,Japan,2000,
"Weston, Garry",1.6,UK,2000,
"Zobel de Ayala, Jaime Augusto",1.6,Philippines,2000,
"Arango, Jeronimo",1.5,Mexico,2000,
"Azcarraga Jean, Emilio",1.5,Mexico,2000,
"Camargo, Dirce Navarro and family",1.5,Brazil,2000,
