name,country,age,wealth,residence,year
Warren Buffett,United States,77,62,United States,2008
Carlos Slim Helu & family,Mexico,68,60,Mexico,2008
William Gates III,United States,52,58,United States,2008
Lakshmi Mittal,India,57,45,United Kingdom,2008
Mukesh Ambani,India,50,43,India,2008
Anil Ambani,India,48,42,India,2008
Ingvar Kamprad & family,Sweden,81,31,Switzerland,2008
KP Singh,India,76,30,India,2008
Oleg Deripaska,Russia,40,28,Russia,2008
Karl Albrecht,Germany,88,27,Germany,2008
Li Ka-shing,Hong Kong,79,26.5,Hong Kong,2008
Sheldon Adelson,United States,74,26,United States,2008
Bernard Arnault,France,59,25.5,France,2008
Lawrence Ellison,United States,63,25,United States,2008
Roman Abramovich,Russia,41,23.5,Russia,2008
Theo Albrecht,Germany,85,23,Germany,2008
Liliane Bettencourt,France,85,22.9,France,2008
Alexei Mordashov,Russia,42,21.2,Russia,2008
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,51,21,Saudi Arabia,2008
Mikhail Fridman,Russia,43,20.8,Russia,2008
Vladimir Lisin,Russia,51,20.3,Russia,2008
Amancio Ortega,Spain,72,20.2,Spain,2008
"Raymond, Thomas & Walter Kwok",Hong Kong,n/a,19.9,Hong Kong,2008
Mikhail Prokhorov,Russia,42,19.5,Russia,2008
Vladimir Potanin,Russia,47,19.3,Russia,2008
Christy Walton & family,United States,53,19.2,United States,2008
Jim Walton,United States,60,19.2,United States,2008
S Robson Walton,United States,64,19.2,United States,2008
Lee Shau Kee,Hong Kong,80,19,Hong Kong,2008
Alice Walton,United States,58,19,United States,2008
David Thomson & family,Canada,50,18.9,Canada,2008
Sergey Brin,United States,34,18.7,United States,2008
Larry Page,United States,35,18.6,United States,2008
Michael Otto & family,Germany,64,18.2,Germany,2008
Stefan Persson,Sweden,60,17.7,Sweden,2008
Suleiman Kerimov,Russia,42,17.5,Russia,2008
Charles Koch,United States,72,17,United States,2008
David Koch,United States,67,17,United States,2008
Francois Pinault & family,France,71,16.9,France,2008
Michael Dell,United States,43,16.4,United States,2008
Paul Allen,United States,55,16,United States,2008
Kirk Kerkorian,United States,90,16,United States,2008
Steven Ballmer,United States,52,15,United States,2008
Abigail Johnson,United States,46,15,United States,2008
Shashi & Ravi Ruia,India,n/a,15,India,2008
Nasser Al-Kharafi & family,Kuwait,64,14,Kuwait,2008
Gerald Cavendish Grosvenor & family,United Kingdom,56,14,United Kingdom,2008
Carl Icahn,United States,72,14,United States,2008
Forrest Mars Jr,United States,76,14,United States,2008
Jacqueline Mars,United States,68,14,United States,2008
John Mars,United States,71,14,United States,2008
Birgit Rausing & family,Sweden,84,14,Switzerland,2008
Jack Taylor & family,United States,85,14,United States,2008
German Khan,Russia,46,13.9,Russia,2008
Susanne Klatten,Germany,45,13.2,Germany,2008
Vagit Alekperov,Russia,57,13,Russia,2008
Donald Bren,United States,75,13,United States,2008
Alain & Gerard Wertheimer,France,n/a,12.9,United States,2008
Dmitry Rybolovlev,Russia,41,12.8,Russia,2008
Azim Premji,India,62,12.7,India,2008
Naguib Sawiris,Egypt,53,12.7,Egypt,2008
Anne Cox Chambers,United States,88,12.6,United States,2008
Iskander Makhmudov,Russia,44,11.9,Russia,2008
Sunil Mittal & family,India,50,11.8,India,2008
Alexander Abramov,Russia,49,11.5,Russia,2008
Michael Bloomberg,United States,66,11.5,United States,2008
Viktor Vekselberg,Russia,50,11.2,Russia,2008
Michele Ferrero & family,Italy,81,11,Monaco,2008
George Kaiser,United States,65,11,United States,2008
Spiro Latsis & family,Greece,61,11,Switzerland,2008
Nassef Sawiris,Egypt,46,11,Egypt,2008
Alexei Kuzmichev,Russia,45,10.8,Russia,2008
Philip Knight,United States,70,10.4,United States,2008
Viktor Rashnikov,Russia,59,10.4,Russia,2008
Ernesto Bertarelli,Switzerland,42,10.3,Switzerland,2008
Kumar Birla,India,40,10.2,India,2008
Leonardo Del Vecchio,Italy,72,10,Italy,2008
Antonio Ermirio de Moraes & family,Brazil,79,10,Brazil,2008
Iris Fontbona & family,Chile,n/a,10,Chile,2008
Edward Johnson III,United States,77,10,United States,2008
Hans Rausing,Sweden,82,10,United Kingdom,2008
Vladimir Yevtushenkov,Russia,59,10,Russia,2008
Igor Zyuzin,Russia,47,10,Russia,2008
Serge Dassault & family,France,82,9.9,France,2008
Alberto Bailleres & family,Mexico,75,9.8,Mexico,2008
Ramesh Chandra,India,68,9.6,India,2008
Charles Ergen,United States,55,9.5,United States,2008
John Kluge,United States,93,9.5,United States,2008
Ronald Perelman,United States,65,9.5,United States,2008
Silvio Berlusconi & family,Italy,71,9.4,Italy,2008
Gautam Adani,India,45,9.3,India,2008
Petr Kellner,Czech Republic,43,9.3,Czech Republic,2008
Alisher Usmanov,Russia,54,9.3,Russia,2008
Adolf Merckle,Germany,73,9.2,Germany,2008
August von Finck,Germany,78,9.2,Switzerland,2008
Onsi Sawiris,Egypt,78,9.1,Egypt,2008
Mohammed Al Amoudi,Saudi Arabia,62,9,Saudi Arabia,2008
Robert Kuok,Malaysia,84,9,Hong Kong,2008
George Soros,United States,77,9,United States,2008
Abdul Aziz Al Ghurair & family,United Arab Emirates,54,8.9,United Arab Emirates,2008
Joseph Safra,Brazil,69,8.8,Brazil,2008
James Goodnight,United States,65,8.7,United States,2008
Reinhard Mohn & family,Germany,86,8.7,Germany,2008
Donald Newhouse,United States,78,8.5,United States,2008
Samuel Newhouse Jr,United States,80,8.5,United States,2008
Maria-Elisabeth & Georg Schaeffler,Germany,n/a,8.5,Germany,2008
Sulaiman Al Rajhi,Saudi Arabia,88,8.4,Saudi Arabia,2008
Philip & Cristina Green,United Kingdom,56,8.4,United Kingdom,2008
Rupert Murdoch,United States,77,8.3,United States,2008
Jeffrey Bezos,United States,44,8.2,United States,2008
Savitri Jindal & family,India,58,8.2,India,2008
Maan Al-Sanea,Saudi Arabia,53,8.1,Saudi Arabia,2008
Leonard Blavatnik,United States,50,8,United Kingdom,2008
John Fredriksen,Cyprus,63,8,United Kingdom,2008
Stanley Ho,Hong Kong,86,8,Hong Kong,2008
Nikolai Tsvetkov,Russia,47,8,Russia,2008
Dan Duncan,United States,75,7.9,United States,2008
Eliodoro Matte & family,Chile,62,7.9,Chile,2008
Erivan Haub & family,Germany,75,7.8,Germany,2008
Cheng Yu-tung,Hong Kong,82,7.7,Hong Kong,2008
Pierre Omidyar,United States,40,7.7,United States,2008
Tsai Hong-tu & family,Taiwan,55,7.7,Taiwan,2008
Reinhold Wurth,Germany,72,7.7,Germany,2008
Akira Mori & family,Japan,70,7.5,Japan,2008
Philip Anschutz,United States,68,7.4,United States,2008
Yang Huiyan,China,26,7.4,China,2008
Rinat Akhmetov,Ukraine,41,7.3,Ukraine,2008
Charlene de Carvalho-Heineken,Netherlands,53,7.3,United Kingdom,2008
German Larrea Mota-Velasco & family,Mexico,54,7.3,Mexico,2008
John Menard Jr,United States,68,7.3,United States,2008
Ananda Krishnan,Malaysia,69,7.2,Malaysia,2008
Americo Amorim,Portugal,73,7,Portugal,2008
