name,wealth,country,year,age
"Gates, William H. III",58.7,United States,2001,
"Buffett, Warren Edward",32.3,United States,2001,
"Allen, Paul Gardner",30.4,United States,2001,
"Ellison, Lawrence Joseph",26,United States,2001,
"Albrecht, Theo & Karl",25,Germany,2001,
"Alsaud, Prince Alwaleed Bin Talal",20,Saudi Arabia,2001,
"Walton, Jim C.",18.8,United States,2001,
"Walton, John T.",18.7,United States,2001,
"Walton, S. Robson",18.6,United States,2001,
"Walton, Alice L.",18.5,United States,2001,
"Walton, Helen R.",18.5,United States,2001,
"Quandt, Johanna & family",17.8,Germany,2001,
"Ballmer, Steven Anthony",16.6,United States,2001,
"Thomson, Kenneth & family",16.4,Canada,2001,
"Bettencourt, Liliane",15.6,France,2001,
"Anschutz, Philip F.",15.3,United States,2001,
"Kamprad, Ingvar",13,Sweden,2001,
LiÊKa-shing,12.6,Hong Kong,2001,
"Redstone, Sumner M.",12.6,United States,2001,
"Kirch, Leo",12,Germany,2001,
"Anthony, Barbara Cox",11.7,United States,2001,
"Chambers, Anne Cox",11.7,United States,2001,
"Kwok brothers, Walter, Thomas, Raymond",11.5,Hong Kong,2001,
"Kluge, John Werner",10.9,United States,2001,
"Slim Helœ, Carlos",10.8,Mexico,2001,
"Arnault, Bernard",10.7,France,2001,
"Bertarelli, Ernesto & family",10.5,Switzerland,2001,
"Dell, Michael",10.5,United States,2001,
"Berlusconi, Silvio",10.3,Italy,2001,
"Johnson, Abigail",9.1,United States,2001,
"Mars, Forrest Edward Jr.",9,United States,2001,
"Mars, Jacqueline Badger",9,United States,2001,
"Mars, John Franklyn",9,United States,2001,
"Rausing, Kirsten & family",9,Sweden,2001,
"Ergen, Charles",8.8,United States,2001,
"Turner, Robert E. (Ted)",8.8,United States,2001,
"Takei, Yasuo & family",8.3,Japan,2001,
"Olayan, Suliman",8,Saudi Arabia,2001,
"Murdoch, Keith Rupert",7.8,United States,2001,
"Rausing, Hans",7.7,Sweden,2001,
"Saji, Nobutada & family",7.7,Japan,2001,
"Premji, Azim & family",6.9,India,2001,
"Del Vecchio, Leonardo",6.6,Italy,2001,
"Ortega, Amancio",6.6,Spain,2001,
"Grosvenor, Gerald Cavendish",6.5,United Kingdom,2001,
"Kerkorian, Kirk",6.4,United States,2001,
"Pinault, Francois",6.3,France,2001,
"Schwab, Charles R.",6.3,United States,2001,
"Landolt, Pierre & family",6.1,Switzerland,2001,
"Al-Kharafi, Nasser & family",6,Kuwait,2001,
"Soros, George",6,United States,2001,
LeeÊShau Kee,5.9,Hong Kong,2001,
"Broad, Eli",5.8,United States,2001,
"Goodnight, James",5.7,United States,2001,
"Kinoshita, Kyosuke & family",5.6,Japan,2001,
"Son, Masayoshi",5.6,Japan,2001,
"Benetton, Luciano & family",5.5,Italy,2001,
"Pritzker, Robert Alan",5.5,United States,2001,
"Pritzker, Thomas J.",5.5,United States,2001,
"Curt, Engelhorn",5.4,Germany,2001,
"Halley, Paul-Louis & family",5.4,France,2001,
"Moore, Gordon Earle",5.4,United States,2001,
"Plattner, Hasso",5.4,Germany,2001,
"Cisneros, Gustavo & family",5.3,Venezuela,2001,
"Flick, Friedrich Karl Jr.",5.3,Germany,2001,
"Haefner, Walter",5.3,Switzerland,2001,
"Persson, Stefan",5.3,Sweden,2001,
"Fukuda, Yoshitaka",5.2,Japan,2001,
"Lerner, Alfred",5.1,United States,2001,
"Newhouse, Donald Edward",5,United States,2001,
"Newhouse, Samuel Irving Jr.",5,United States,2001,
"Otto, Michael & family",5,Germany,2001,
"von Finck, August",5,Germany,2001,
"Wertheimer, Alain & Gerard",5,France,2001,
"Dassault, Serge & family",4.9,France,2001,
"Herz, GŸnter & family",4.8,Germany,2001,
"Yanai, Tadashi",4.8,Japan,2001,
"Gerling, Rolf",4.7,Germany,2001,
"Johnson, Edward Crosby III",4.6,United States,2001,
"Latsis, Spiros & family",4.6,Greece,2001,
"von Holtzbrinck, Dieter & family",4.6,Germany,2001,
"Bloomberg, Michael Rubens",4.5,United States,2001,
"Davis, Marvin H.",4.5,United States,2001,
"Ito, Masatoshi",4.5,Japan,2001,
"Johnson, Samuel Curtis",4.5,United States,2001,
"Mendoza, Lorenzo & family",4.5,Venezuela,2001,
"Mohn, Reinhard",4.5,Germany,2001,
"Omidyar, Pierre M.",4.5,United States,2001,
"Oppenheimer, Nicky & family",4.5,South Africa,2001,
"Irving, James, Arthur & John",4.4,Canada,2001,
"Oetker, Rudolf & family",4.4,Germany,2001,
"Bass, Lee Marshall",4.3,United States,2001,
"Greenberg, Maurice Raymond",4.3,United States,2001,
"Knight, Philip H.",4.3,United States,2001,
"Iwasaki, Fukuzo",4.2,Japan,2001,
"Arison, Micky",4.1,United States,2001,
"Wang, Patrick",4.1,Hong Kong,2001,
"Annenberg, Walter Hubert",4,United States,2001,
"Bren, Donald L.",4,United States,2001,
"Haub, Erivan & family",4,Germany,2001,
"Heineken, Alfred",4,Netherlands,2001,
"Warner, H. Ty",4,United States,2001,
"Weston, Galen & family",4,Canada,2001,
"Bass, Sid Richardson",3.8,United States,2001,
"Huntsman, Jon Meade",3.8,United States,2001,
"Lauder, Leonard Alan",3.8,United States,2001,
"Perot, Henry Ross",3.8,United States,2001,
TsaiÊWan-lin & family,3.8,Taiwan,2001,
"Arison Dorsman, Shari",3.7,Israel,2001,
"Icahn, Carl",3.7,United States,2001,
"Karamehmet, Mehmet & family",3.7,Turkey,2001,
"Kuok, Robert",3.7,Malaysia,2001,
"Sidhu, Sanjiv",3.7,United States,2001,
