name,age,wealth,country,residence,year
Onsi Sawiris & family,75,5.2,Egypt,"Egypt , Cairo",2005
Dan Duncan,72,5.1,United States,"United States , TX , Houston",2005
Michael Bloomberg,62,5,United States,"United States , NY , New York",2005
Gustavo Cisneros & family,59,5,Venezuela,"Venezuela , Caracas",2005
Rafael del Pino,84,5,Spain,"Spain , Madrid",2005
Robert Kuok,81,5,Malaysia,"Hong Kong , Hong Kong",2005
Kerry Packer,67,5,Australia,"Australia , Sydney",2005
Hasso Plattner,61,5,Germany,"Germany , Heidelberg",2005
Jeffrey Skoll,40,5,Canada,"United States , CA , Los Angeles",2005
Viktor Vekselberg,47,5,Russia,"Russia , Moscow",2005
H Ty Warner,61,5,United States,"United States , IL , Chicago",2005
Charlene de Carvalho-Heineken,50,4.9,Netherlands,"United Kingdom , London",2005
Eitaro Itoyama,62,4.9,Japan,"Japan , Tokyo",2005
Rahmi Koc & family,74,4.9,Turkey,"Turkey , Istanbul",2005
Ronald Perelman,62,4.9,United States,"United States , NY , New York",2005
Karl-Heinz Kipp,81,4.8,Germany,"Switzerland , Arosa",2005
Alexei Mordashov,39,4.8,Russia,"Russia , Moscow",2005
Jim Pattison,76,4.8,Canada,"Canada , Vancouver",2005
Alain & Gerard Wertheimer,--,4.8,France,"France , Paris",2005
Kunio Busujima & family,79,4.7,Japan,"Japan , Kiryu",2005
Michael Kadoorie & family,64,4.7,Hong Kong,"Hong Kong , Hong Kong",2005
Kyosuke Kinoshita & family,64,4.7,Japan,"Japan , Tokyo",2005
Ferit Sahenk & family,41,4.7,Turkey,"Turkey , Istanbul",2005
Robert Bosch Jr & family,77,4.6,Germany,"Germany , Stuttgart",2005
Giorgio Armani,70,4.5,Italy,"Italy , Milan",2005
David Geffen,62,4.4,United States,"United States , CA , Malibu",2005
"James, Arthur & John Irving",--,4.4,Canada,"Canada , Saint John",2005
Fukuzo Iwasaki,80,4.4,Japan,"Japan , Kagoshima",2005
Vladimir Potanin,44,4.4,Russia,"Russia , Moscow",2005
Mikhail Prokhorov,39,4.4,Russia,"Russia , Moscow",2005
Vagit Alekperov,54,4.3,Russia,"Russia , Moscow",2005
Donald Bren,72,4.3,United States,"United States , CA , Newport Beach",2005
Walter Haefner,94,4.3,Switzerland,"Switzerland , Zurich",2005
Erivan Haub & family,72,4.3,Germany,"Germany , MÙlheim an der Ruhr",2005
Kun-Hee Lee & family,63,4.3,South Korea,"South Korea , Seoul",2005
Gordon Moore,76,4.3,United States,"United States , CA , Woodside",2005
Henry Ross Perot & family,74,4.3,United States,"United States , TX , Dallas",2005
David Sainsbury & family,64,4.3,United Kingdom,"United Kingdom , London",2005
Masayoshi Son,47,4.3,Japan,"Japan , Tokyo",2005
William Wrigley Jr,41,4.3,United States,"United States , IL , Lake Forest",2005
John Abele,68,4.2,United States,"United States , MA , Boston",2005
Cheng Yu-tung,79,4.2,Hong Kong,"Hong Kong , Hong Kong",2005
George Kaiser,62,4.2,United States,"United States , OK , Tulsa",2005
Andronico Luksic & family,78,4.2,Chile,"Chile , Antofagasta",2005
Jeffrey Bezos,41,4.1,United States,"United States , WA , Seattle",2005
Lorenzo Mendoza & family,39,4.1,Venezuela,"Venezuela , Caracas",2005
Charles Koch,68,4,United States,"United States , KS , Wichita",2005
David Koch,63,4,United States,"United States , KS , Wichita",2005
Ananda Krishnan,66,4,Malaysia,"Malaysia , Kuala Lumpur",2005
Kwek Leng Beng & family,64,4,Singapore,Singapore,2005
James Sorenson,83,4,United States,"United States , UT , Salt Lake City",2005
Abdul Aziz Al Ghurair & family,51,3.9,United Arab Emirates,"United Arab Emirates , Dubai",2005
Lester Crown & family,79,3.8,United States,"United States , IL , Wilmette",2005
John Menard Jr,65,3.8,United States,"United States , WI , Eau Claire",2005
Thomas Schmidheiny,59,3.8,Switzerland,"Switzerland , Balgach",2005
Andreas StrÙngmann,55,3.8,Germany,"Germany , Tegernsee",2005
Thomas StrÙngmann,55,3.8,Germany,"Germany , Tegernsee",2005
Kumar Birla,37,3.7,India,"India , Mumbai",2005
Yoshiaki Tsutsumi,70,3.7,Japan,"Japan , Tokyo",2005
Jeronimo Arango,79,3.6,Mexico,Mexico,2005
Bernard Ecclestone & family,74,3.6,United Kingdom,"United Kingdom , London",2005
Stanley Ho,83,3.6,Hong Kong,"Hong Kong , Hong Kong",2005
Frank Lowy & family,74,3.6,Australia,"Australia , Sydney",2005
Victor Rashnikov,56,3.6,Russia,"Russia , Magnitogorsk",2005
Jorgen Clausen & family,56,3.5,Denmark,"Denmark , Nordborg",2005
Willi & Isolde Liebherr & family,--,3.5,Switzerland,"Switzerland , Bulle",2005
Peter Nicholas,63,3.5,United States,"United States , MA , Boston",2005
Julio Mario Santo Domingo,81,3.5,Colombia,"Colombia , Bogota",2005
David & Frederick Barclay,--,3.4,United Kingdom,"United Kingdom , Island of Brecquou",2005
Otto Beisheim,81,3.4,Germany,"Switzerland , Zoug",2005
John Fredriksen,60,3.4,Norway,"Norway , Oslo",2005
Preston Tisch,78,3.4,United States,"United States , NY , New York",2005
Robert Bass,57,3.3,United States,"United States , TX , Fort Worth",2005
Paul Desmarais,78,3.3,Canada,"Canada , Montreal",2005
Charles Johnson,72,3.3,United States,"United States , CA , San Mateo",2005
Sunil Mittal,47,3.3,India,"India , Delhi",2005
Robert Rowling,51,3.3,United States,"United States , TX , Dallas",2005
Rainer & Michael Schmidt-Ruthenbeck,--,3.3,Germany,"Germany , Duisburg",2005
Saleh Bin Abdul Aziz Al Rajhi,93,3.2,Saudi Arabia,"Saudi Arabia , Jeddah",2005
Richard Branson,54,3.2,United Kingdom,"United Kingdom , London",2005
William Cook,73,3.2,United States,"United States , IN , Bloomington",2005
Aloysio de Andrade Faria,84,3.2,Brazil,"Brazil , Sao Paulo",2005
Rolf Gerling,50,3.2,Germany,"Switzerland , Zurich",2005
James Goodnight,62,3.2,United States,"United States , NC , Cary",2005
Terry Gou,54,3.2,Taiwan,"Taiwan , Taipei",2005
Maurice Greenberg,79,3.2,United States,"United States , NY , New York",2005
Klaus-Michael KÙhne,67,3.2,Germany,"Switzerland , Schindellegi",2005
Leonard Lauder,72,3.2,United States,"United States , NY , New York",2005
G_rard Louis-Dreyfus & family,72,3.2,France,"United States , NY , New York",2005
Pallonji Mistry,75,3.2,India,"India , Mumbai",2005
Akira Mori,67,3.2,Japan,"Japan , Tokyo",2005
Madeleine Schickedanz,61,3.2,Germany,"Switzerland , Grisous",2005
Charles Schwab,67,3.2,United States,"United States , CA , Atherton",2005
Jack Taylor,82,3.2,United States,"United States , MO , St Louis",2005
Klaus Tschira,64,3.2,Germany,"Germany , Heidelberg",2005
Tadashi Yanai,56,3.2,Japan,"Japan , Yamaguchi",2005
David Filo,38,3.1,United States,"United States , CA , Mountain View",2005
Heidi Horten,64,3.1,Austria,"Austria , Vienna",2005
Sami & Yuli Ofer,--,3.1,Israel,"Israel , Tel Aviv",2005
Nina Wang,--,3.1,Hong Kong,"Hong Kong , Hong Kong",2005
YC Wang,88,3.1,Taiwan,"Taiwan , Taipei",2005
Leslie Wexner,69,3.1,United States,"United States , OH , Columbus",2005
Richard DeVos,79,3,United States,"United States , MI , Ada",2005
Henry Fok,81,3,Hong Kong,"Hong Kong , Hong Kong",2005
Steven Jobs,50,3,United States,"United States , CA , Palo Alto",2005
Ann Walton Kroenke,55,3,United States,"United States , MO , Columbia",2005
George Lucas,60,3,United States,"United States , CA , Marin County",2005
Sergio Mantegazza,77,3,Switzerland,"Switzerland , Lugano",2005
Miuccia Prada & family,55,3,Italy,"Italy , Rome",2005
Anton Schlecker,60,3,Germany,"Germany , Ehingen",2005
Charoen Sirivadhanabhakdi,60,3,Thailand,"Thailand , Bangkok",2005
Anacleto Angelini,91,2.9,Chile,"Chile , Santiago",2005
Masatoshi Ito,80,2.9,Japan,"Japan , Tokyo",2005
Barbara Piasecka Johnson,68,2.9,United States,"Monaco , Monte Carlo",2005
Richard Schulze,64,2.9,United States,"United States , MN , Edina",2005
Stefan Sch_rghuber,43,2.9,Germany,"Germany , Munich",2005
Tsai Wan Tsai & family,75,2.9,Taiwan,"Taiwan , Taipei",2005
Karl Wlaschek,87,2.9,Austria,"Austria , Vienna",2005
Khalid Bin Mahfouz & family,58,2.8,Saudi Arabia,"Saudi Arabia , Jeddah",2005
Charles Bronfman,73,2.8,Canada,"Canada , Montreal",2005
William Davidson,82,2.8,United States,"United States , MI , Bloomfield Hills",2005
Jesus de Polanco,75,2.8,Spain,"Spain , Madrid",2005
Rachman Halim & family,57,2.8,Indonesia,"Indonesia , Jawa Timur",2005
Henry Hillman,86,2.8,United States,"United States , PA , Pittsburgh",2005
Ralph Lauren,65,2.8,United States,"United States , NY , New York",2005
Stephan Schmidheiny,57,2.8,Switzerland,"Switzerland , Zurich",2005
Eric Schmidt,50,2.8,United States,"United States , CA , Atherton",2005
Alberto Bailleres,72,2.7,Mexico,"Mexico , Mexico City",2005
Edgar Bronfman Sr,76,2.7,United States,"United States , NY , New York",2005
Charles Cadogan & family,68,2.7,United Kingdom,"United Kingdom , London",2005
Otto Happel,57,2.7,Germany,"Switzerland , Luzerne",2005
Bradley Hughes,71,2.7,United States,"United States , CA , Bel Air",2005
Ronald Lauder,61,2.7,United States,"United States , NY , New York",2005
Eliodoro Matte & family,59,2.7,Chile,"Chile , Santiago",2005
Luis Carlos Sarmiento,72,2.7,Colombia,"Colombia , Bogota",2005
Steven Spielberg,58,2.7,United States,"United States , CA , Pacific Palisades",2005
Hubert Burda,65,2.6,Germany,"Germany , Munich",2005
Michael Hilti & family,58,2.6,Liechtenstein,"Liechtenstein , Schaan",2005
Martha Ingram & family,69,2.6,United States,"United States , TN , Nashville",2005
Boris Ivanishvili,49,2.6,Russia,"France , Paris",2005
Rupert Johnson Jr,63,2.6,United States,"United States , CA , San Mateo",2005
Saleh Kamel,63,2.6,Saudi Arabia,"Saudi Arabia , Makkah Al-Minkarramah",2005
Jorge Paulo Lemann,65,2.6,Brazil,"Brazil , Rio de Janeiro",2005
Lev Leviev,49,2.6,Israel,"Israel , B'nei Brak",2005
Hugo Mann & family,91,2.6,Germany,"Germany , Karlsruhe",2005
Ng Teng Fong,76,2.6,Singapore,"Singapore , Singapore",2005
Ricardo Salinas Pliego & family,49,2.6,Mexico,"Mexico , Mexico City",2005
Yasumitsu Shigeta,40,2.6,Japan,"Japan , Tokyo",2005
Takemitsu Takizaki,59,2.6,Japan,"Japan , Osaka",2005
Donald Trump,59,2.6,United States,"United States , NY , New York",2005
Jerry Yang,36,2.6,United States,"United States , CA , Los Altos",2005
Mohammed Al Amoudi,59,2.5,Saudi Arabia,"Saudi Arabia , Jeddah",2005
Gianluigi & Rafaela Aponte,--,2.5,Switzerland,"Switzerland , Geneva",2005
John Dorrance III,61,2.5,Ireland,"Ireland , Dublin",2005
Antonio Ermirio de Moraes & family,76,2.5,Brazil,"Brazil , Sao Paulo",2005
Jeffrey Koo Jr,--,2.5,Taiwan,Taiwan,2005
Esther Koplowitz,54,2.5,Spain,"Spain , Barcelona",2005
Kjeld Kirk Kristiansen,57,2.5,Denmark,"Denmark , Billund",2005
Edward Lampert,42,2.5,United States,"United States , CT , Greenwich",2005
Nancy Walton Laurie,53,2.5,United States,"United States , MO , Columbia",2005
Michael Lee-Chin,54,2.5,Canada,"Canada , Burlington",2005
David Rockefeller Sr,89,2.5,United States,"United States , NY , New York",2005
Bernard (Barry) Sherman,63,2.5,Canada,"Canada , Toronto",2005
James Simons,67,2.5,United States,"United States , NY , East Setauket",2005
Leonard Stern,67,2.5,United States,"United States , NY , New York",2005
Michael Ying,55,2.5,Hong Kong,"Hong Kong , Hong Kong",2005
Rinat Akhmetov,38,2.4,Ukraine,"Ukraine , Donetsk",2005
Riley Bechtel,53,2.4,United States,"United States , CA , San Francisco",2005
Stephen Bechtel Jr,79,2.4,United States,"United States , CA , San Francisco",2005
Leonard Blavatnik,47,2.4,United States,"United States , NY , New York",2005
Martin Bouygues & family,53,2.4,France,"France , Paris",2005
Michael Herz,59,2.4,Germany,"Germany , Hamburg",2005
Lee Seng Wee & family,80,2.4,Singapore,"Singapore , Singapore",2005
Lim Goh Tong,87,2.4,Malaysia,"Malaysia , Kuala Lumpur",2005
Bernard Marcus,75,2.4,United States,"United States , GA , Atlanta",2005
A Jerrold Perenchio,74,2.4,United States,"United States , CA , Bel Air",2005
Edward Rogers,71,2.4,Canada,"Canada , Toronto",2005
Teh Hong Piow,74,2.4,Malaysia,"Malaysia , Kuala Lumpur",2005
Steven Udvar-Hazy,59,2.4,United States,"United States , CA , Beverly Hills",2005
Vladimir Yevtushenkov,56,2.4,Russia,"Russia , Moscow",2005
Alexander Abramov,46,2.3,Russia,"Russia , Moscow",2005
Vladimir Bogdanov,53,2.3,Russia,"Russia , Surgut",2005
Ronald Burkle,52,2.3,United States,"United States , CA , Los Angeles",2005
Clive Calder,58,2.3,United Kingdom,Cayman Islands,2005
Jean-Louis Dumas & family,66,2.3,France,"France , Paris",2005
Melinda Esterhazy,84,2.3,Austria,"Switzerland , Zurich",2005
Tetsuro Funai,78,2.3,Japan,"Japan , Osaka",2005
Frits Goldschmeding,71,2.3,Netherlands,"Netherlands , Amsterdam",2005
Stein Erik Hagen,48,2.3,Norway,"Norway , Oslo",2005
Ray Hunt,62,2.3,United States,"United States , TX , Dallas",2005
Shiv Nadar,59,2.3,India,"India , New Delhi",2005
Carl Pohlad,89,2.3,United States,"United States , MN , Minneapolis",2005
Quek Leng Chan & family,64,2.3,Malaysia,"Malaysia , Kuala Lumpur",2005
Johann Rupert & family,54,2.3,South Africa,"South Africa , Stellenbosch",2005
Haim Saban,60,2.3,United States,"United States , CA , Beverly Hills",2005
John Simplot & family,96,2.3,United States,"United States , ID , Boise",2005
Clemmie Spangler Jr,72,2.3,United States,"United States , NC , Charlotte",2005
Friede Springer,62,2.3,Germany,"Germany , Berlin",2005
Wee Cho Yaw,76,2.3,Singapore,Singapore,2005
Tadahiro Yoshida,58,2.3,Japan,"Japan , Fujisawa",2005
Vincent Bollore,52,2.2,France,"France , Paris",2005
Charles Butt,66,2.2,United States,"United States , TX , San Antonio",2005
John Calamos,65,2.2,United States,"United States , IL , Naperville",2005
Leona Mindy Rosenthal Helmsley,85,2.2,United States,"United States , NY , New York",2005
Wolfgang Herz,54,2.2,Germany,"Germany , Hamburg",2005
Amos Hostetter Jr,68,2.2,United States,"United States , MA , Boston",2005
Ryoichi Jinnai & family,78,2.2,Japan,"Japan , Hokkaido",2005
Peter Kellogg,63,2.2,United States,"United States , NJ , Short Hills",2005
Mikhail Khodorkovsky,41,2.2,Russia,"Russia , Moscow",2005
Emanuele (Lino) Saputo & family,68,2.2,Canada,"Canada , Quebec",2005
Stef Wertheimer & family,79,2.2,Israel,"Israel , Tefen",2005
Chaleo Yoovidhya,73,2.2,Thailand,"Thailand , Bangkok",2005
Lorenzo Zambrano & family,61,2.2,Mexico,"Mexico , Monterrey",2005
Samuel Zell,63,2.2,United States,"United States , IL , Chicago",2005
Heinz Bauer,65,2.1,Germany,"Germany , Hamburg",2005
Francesco Gaetano Caltagirone & family,62,2.1,Italy,Italy,2005
Gordon Getty,72,2.1,United States,"United States , CA , San Francisco",2005
Nicolas Hayek,76,2.1,Switzerland,"Switzerland , Biel",2005
German Khan,43,2.1,Russia,"Russia , Moscow",2005
Herbert Kohler & family,66,2.1,United States,"United States , WI , Kohler",2005
Craig McCaw,55,2.1,United States,"United States , WA , Seattle",2005
Richard Rainwater,60,2.1,United States,"United States , TX , Fort Worth",2005
Harold Simmons,73,2.1,United States,"United States , TX , Dallas",2005
Frederick Smith,60,2.1,United States,"United States , TN , Memphis",2005
Jon Stryker,46,2.1,United States,"United States , MI , Kalamazoo",2005
Ronda Stryker,50,2.1,United States,"United States , MI , Kalamazoo",2005
Nikolai Tsvetkov,44,2.1,Russia,"Russia , Moscow",2005
Patrick Wang & family,54,2.1,Hong Kong,"Hong Kong , Hong Kong",2005
Stephen Wynn,64,2.1,United States,"United States , NV , Las Vegas",2005
Herbert Allen Jr,65,2,United States,"United States , NY , New York",2005
Isak Andic,50,2,Spain,"Spain , Barcelona",2005
Leonore Annenberg,87,2,United States,"United States , PA , Wynnewood",2005
Roland Arnall,66,2,United States,"United States , CA , Holmby Hills",2005
Matthew Bucksbaum & family,79,2,United States,"United States , IL , Chicago",2005
Chen Din Hwa,82,2,Hong Kong,"Hong Kong , Hong Kong",2005
Steven Cohen,49,2,United States,"United States , CT , Greenwich",2005
John de Mol,50,2,Netherlands,"Netherlands , Blaricum",2005
Ennio Doris & family,64,2,Italy,"Italy , Tombolo",2005
Leonid Fedun,48,2,Russia,"Russia , Moscow",2005
Philippe Foriel-Destezet,69,2,France,"United Kingdom , London",2005
Louis Gonda,56,2,United States,"United States , CA , Beverly Hills",2005
R Budi Hartono,64,2,Indonesia,"Indonesia , Kudus",2005
Roberto Hernandez,63,2,Mexico,"Mexico , Mexico City",2005
GÙnter Herz,64,2,Germany,"Germany , Hamburg",2005
Jon Huntsman,67,2,United States,"United States , UT , Salt Lake City",2005
Richard Kinder,61,2,United States,"United States , TX , Houston",2005
Bruce Kovner,59,2,United States,"United States , NY , New York",2005
Fredrik Lundberg,53,2,Sweden,"Sweden , Stockholm",2005
John Malone,64,2,United States,"United States , CO , Parker",2005
Dietrich Mateschitz,60,2,Austria,"Austria , Fuschl am See",2005
Patrick McGovern,67,2,United States,"United States , NH , Hollis",2005
Rosalia Mera,61,2,Spain,"Spain , La Coruna",2005
Richard Pratt,70,2,Australia,"Australia , Melbourne",2005
Mitchell Rales,48,2,United States,"United States , DC , Washington",2005
Steven Rales,52,2,United States,"United States , DC , Washington",2005
Robert Rich Sr,91,2,United States,"United States , FL , Palm Beach",2005
Hermann Schnabel,83,2,Germany,"Germany , Hamburg",2005
Bruno Schroder & family,72,2,United Kingdom,"United Kingdom , London",2005
Evgeny (Eugene) Shvidler,40,2,United States,"Russia , Moscow",2005
Robert E (Ted) Turner,66,2,United States,"United States , FL , Lamont",2005
Eugen Viehof,88,2,Germany,"Germany , Moenchengladbach",2005
Albert von Thurn und Taxis,21,2,Germany,"Germany , Regensburg",2005
Peter Woo & family,59,2,Hong Kong,"Hong Kong , Hong Kong",2005
Lee Bass,48,1.9,United States,"United States , TX , Fort Worth",2005
Emilio Botin,70,1.9,Spain,"Spain , Santander",2005
Charles Dolan,78,1.9,United States,"United States , NY , Oyster Bay",2005
Adi Godrej & family,62,1.9,India,"India , Mumbai",2005
William Hearst III,55,1.9,United States,"United States , CA , San Francisco",2005
Daniela Herz,51,1.9,Germany,"Germany , Hamburg",2005
H Huizenga,67,1.9,United States,"United States , FL , Fort Lauderdale",2005
Melvin Simon,78,1.9,United States,"United States , IN , Indianapolis",2005
Ernest Stempel,88,1.9,United States,"Bermuda , Hamilton",2005
Henry Sy & family,80,1.9,Philippines,"Philippines , Manila",2005
Glen Taylor,63,1.9,United States,"United States , MN , Mankato",2005
S Daniel Abraham,80,1.8,United States,"United States , FL , Palm Beach",2005
Maria Asuncion Aramburuzabala & family,41,1.8,Mexico,"Mexico , Mexico City",2005
Franklin Booth Jr,82,1.8,United States,"United States , CA , Los Angeles",2005
Phoebe Hearst Cooke,78,1.8,United States,"United States , CA , San Francisco",2005
Jean Coutu,77,1.8,Canada,"Canada , Quebec",2005
Albert Frere,79,1.8,Belgium,"Belgium , Charleroi",2005
Austin Hearst,52,1.8,United States,"United States , NY , New York",2005
David Hearst Jr,59,1.8,United States,"United States , CA , Los Angeles",2005
George Hearst Jr,78,1.8,United States,"United States , CA , Los Angeles",2005
Ming Hsieh,49,1.8,United States,"United States , CA , San Francisco",2005
Jess Jackson,75,1.8,United States,"United States , CA , Healdsburg",2005
Carl Lindner Jr & family,85,1.8,United States,"United States , OH , Cincinnati",2005
Clayton Mathile,64,1.8,United States,"United States , OH , Dayton",2005
Wallace McCain,75,1.8,Canada,"Canada , Toronto",2005
Fayez Sarofim,76,1.8,United States,"United States , TX , Houston",2005
Patrick Soon-Shiong,53,1.8,United States,"United States , CA , Los Angeles",2005
Sylvia Str_her,50,1.8,Germany,"Germany , Darmstadt",2005
Wilma Tisch,79,1.8,United States,"United States , NY , New York",2005
Alisher Usmanov,51,1.8,Russia,Russia,2005
Dennis Washington,70,1.8,United States,"United States , MT , Missoula",2005
Hiroshi Yamauchi,77,1.8,Japan,"Japan , Kyoto",2005
Dhanin Chearavanont & family,65,1.7,Thailand,"Thailand , Bangkok",2005
Belmiro de Azevedo,67,1.7,Portugal,"Portugal , Oporto",2005
Stanley Druckenmiller,52,1.7,United States,"United States , NY , New York",2005
John J Fisher,43,1.7,United States,"United States , CA , San Francisco",2005
Robert Fisher,51,1.7,United States,"United States , CA , San Francisco",2005
Tom Gores,40,1.7,United States,"United States , CA , Beverly Hills",2005
Joachim Herz,62,1.7,Germany,Germany,2005
E Kroenke,57,1.7,United States,"United States , MO , Columbia",2005
Peter Lewis,70,1.7,United States,"United States , FL , Coconut Grove",2005
Mary Alice Dorrance Malone,55,1.7,United States,"United States , PA , Coatesville",2005
Richard Marriott,66,1.7,United States,"United States , MD , Potomac",2005
Charles Munger,80,1.7,United States,"United States , CA , Los Angeles",2005
David Murdock,81,1.7,United States,"United States , CA , Los Angeles",2005
Henry Nicholas III,45,1.7,United States,"United States , CA , Laguna Hills",2005
Kazuo Okada,62,1.7,Japan,"Japan , Tokyo",2005
Roger Penske,68,1.7,United States,"United States , MI , Birmingham",2005
