name,age,wealth,country,residence,year
William Gates III,49,46.5,United States,"United States , WA , Medina",2005
Warren Buffett,74,44,United States,"United States , NE , Omaha",2005
Lakshmi Mittal,54,25,India,"United Kingdom , London",2005
Carlos Slim Helu,65,23.8,Mexico,"Mexico , Mexico City",2005
Prince Alwaleed Bin Talal Alsaud,48,23.7,Saudi Arabia,"Saudi Arabia , Riyadh",2005
Ingvar Kamprad,78,23,Sweden,"Switzerland , Lausanne",2005
Paul Allen,52,21,United States,"United States , WA , Seattle",2005
Karl Albrecht,85,18.5,Germany,"Germany , MÙlheim an der Ruhr",2005
Lawrence Ellison,60,18.4,United States,"United States , CA , Silicon Valley",2005
S Robson Walton,61,18.3,United States,"United States , AR , Bentonville",2005
Jim Walton,57,18.2,United States,"United States , AR , Bentonville",2005
John Walton,59,18.2,United States,"United States , AR , Bentonville",2005
Alice Walton,56,18,United States,"United States , TX , Fort Worth",2005
Helen Walton,85,18,United States,"United States , AR , Bentonville",2005
Kenneth Thomson & family,81,17.9,Canada,"Canada , Toronto",2005
Liliane Bettencourt,82,17.2,France,"France , Paris",2005
Bernard Arnault,56,17,France,"France , Paris",2005
Michael Dell,40,16,United States,"United States , TX , Austin",2005
Sheldon Adelson,71,15.6,United States,"United States , NV , Las Vegas",2005
Theo Albrecht,83,15.5,Germany,"Germany , Foehr",2005
Roman Abramovich,38,13.3,Russia,"United Kingdom , London",2005
Li Ka-shing,76,13,Hong Kong,"Hong Kong , Hong Kong",2005
Amancio Ortega,69,12.6,Spain,"Spain , La Coruna",2005
Steven Ballmer,49,12.1,United States,"United States , WA , Redmond",2005
Silvio Berlusconi,68,12,Italy,"Italy , North of Milan",2005
Abigail Johnson,43,12,United States,"United States , MA , Boston",2005
Barbara Cox Anthony,81,11.7,United States,"United States , HI , Honolulu",2005
Anne Cox Chambers,85,11.7,United States,"United States , GA , Atlanta",2005
Stefan Persson,57,11.2,Sweden,"Sweden , Stockholm",2005
John Kluge,90,11,United States,"United States , FL , Palm Beach",2005
"Raymond, Thomas & Walter Kwok",--,10.9,Hong Kong,"Hong Kong , Hong Kong",2005
Forrest Mars Jr,73,10.4,United States,"United States , VA , McLean",2005
Jacqueline Mars,65,10.4,United States,"United States , NJ , Bedminster",2005
John Mars,68,10.4,United States,"United States , VA , Arlington",2005
Luciano Benetton & family,69,9.9,Italy,"Italy , Treviso",2005
Pierre Omidyar,37,9.9,United States,"United States , NV , Henderson",2005
Galen Weston & family,64,9.9,Canada,"Canada , Toronto",2005
Lee Shau Kee,77,9.3,Hong Kong,"Hong Kong , Hong Kong",2005
Azim Premji,59,9.3,India,"India , Bangalore",2005
Nasser Al-Kharafi & family,61,9,Kuwait,"Kuwait , Kuwait City",2005
Kirk Kerkorian,87,8.9,United States,"United States , CA , Los Angeles",2005
Sumner Redstone,81,8.8,United States,"United States , CA , Beverly Hills",2005
Leonardo Del Vecchio,69,8.5,Italy,"Italy , Milan",2005
Michele Ferrero & family,78,8.5,Italy,"Belgium , Brussels",2005
Michael Otto & family,61,8.3,Germany,"Germany , Hamburg",2005
Susanne Klatten,43,8.2,Germany,"Germany , Bad Homburg",2005
Philip Knight,67,8.2,United States,"United States , OR , Beaverton",2005
Hans Rausing,79,8.2,Sweden,"United Kingdom , Wadhurst",2005
Serge Dassault & family,80,7.8,France,"France , Paris",2005
Carl Icahn,69,7.8,United States,"United States , NY , New York",2005
Keith Murdoch,74,7.8,United States,"United States , NY , New York",2005
Rudolf August Oetker & family,88,7.7,Germany,"Germany , Bielefeld",2005
Birgit Rausing & family,81,7.6,Sweden,"Switzerland , Vaud",2005
Spiro Latsis & family,58,7.5,Greece,"Switzerland , Geneva",2005
Sergey Brin,31,7.2,United States,"United States , CA , San Francisco",2005
Charles Ergen,52,7.2,United States,"United States , CO , Denver",2005
Larry Page,32,7.2,United States,"United States , CA , San Francisco",2005
George Soros,74,7.2,United States,"United States , NY , New York",2005
Reinhold WÙrth,69,7.2,Germany,"Germany , Kuenzelsau",2005
Mukesh & Anil Ambani,--,7,India,"India , Mumbai",2005
Mikhail Fridman,40,7,Russia,"Russia , Moscow",2005
Vladimir Lisin,48,7,Russia,"Russia , Moscow",2005
Donald Newhouse,75,7,United States,"United States , NJ , Somerset County",2005
Samuel Newhouse Jr,77,7,United States,"United States , NY , New York",2005
Adolf Merckle,70,6.9,Germany,"Germany , Manheim",2005
Stefan Quandt,39,6.7,Germany,"Germany , Bad Homburg",2005
Micky Arison,55,6.5,United States,"United States , FL , Bal Harbour",2005
Philip & Cristina Green,--,6.3,United Kingdom,Monaco,2005
Maria-Elisabeth & Georg Schaeffler,--,6.3,Germany,"Germany , Herzogenaurach",2005
August von Finck,74,6.3,Germany,"Switzerland , Thurgau",2005
Eli Broad,71,6.1,United States,"United States , CA , Los Angeles",2005
Curt Engelhorn,78,6,Germany,"Switzerland , Gstaad",2005
Friedrich Flick Jr,78,6,Germany,"Austria , Vienna",2005
Edward Johnson III,74,6,United States,"United States , MA , Boston",2005
Nicky Oppenheimer & family,59,6,South Africa,"South Africa , Johannesburg",2005
Francois Pinault,68,5.9,France,"France , Paris",2005
Philip Anschutz,65,5.8,United States,"United States , CO , Denver",2005
Ernesto Bertarelli,39,5.8,Switzerland,"Switzerland , Geneva",2005
Nobutada Saji & family,59,5.8,Japan,"Japan , Hyogo",2005
Sulaiman Bin Abdul Al Rajhi,85,5.6,Saudi Arabia,"Saudi Arabia , Jeddah",2005
Yoshitaka Fukuda & family,57,5.6,Japan,"Japan , Kyoto",2005
Gerald Cavendish Grosvenor & family,53,5.6,United Kingdom,"United Kingdom , Chester",2005
Reinhard Mohn & family,83,5.6,Germany,"Germany , Guetersloh",2005
Shari Arison,47,5.5,Israel,"Israel , Tel Aviv",2005
Oleg Deripaska,36,5.5,Russia,"Russia , Moscow",2005
Yasuo Takei & family,75,5.5,Japan,"Japan , Tokyo",2005
Jean-Claude Decaux & family,67,5.4,France,"France , Paris",2005
Antonia Johnson,61,5.4,Sweden,"Sweden , Stockholm",2005
Johanna Quandt,77,5.4,Germany,"Germany , Bad Homburg",2005
Maersk Mc-Kinney Moller,91,5.3,Denmark,"Denmark , Copenhagen",2005
Joseph & Moise Safra,--,5.2,Brazil,"Brazil , Sao Paulo",2005
