name,country,age,wealth,residence,year
William Gates III,United States,51,56,United States,2007
Warren Buffett,United States,76,52,United States,2007
Carlos Slim Helu,Mexico,67,49,Mexico,2007
Ingvar Kamprad & family,Sweden,80,33,Switzerland,2007
Lakshmi Mittal,India,56,32,United Kingdom,2007
Sheldon Adelson,United States,73,26.5,United States,2007
Bernard Arnault,France,58,26,France,2007
Amancio Ortega,Spain,71,24,Spain,2007
Li Ka-shing,Hong Kong,78,23,Hong Kong,2007
David Thomson & family,Canada,49,22,Canada,2007
Lawrence Ellison,United States,62,21.5,United States,2007
Liliane Bettencourt,France,84,20.7,France,2007
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,50,20.3,Saudi Arabia,2007
Mukesh Ambani,India,49,20.1,India,2007
Karl Albrecht,Germany,87,20,Germany,2007
Roman Abramovich,Russia,40,18.7,United Kingdom,2007
Stefan Persson,Sweden,59,18.4,Sweden,2007
Anil Ambani,India,47,18.2,India,2007
Paul Allen,United States,54,18,United States,2007
Theo Albrecht,Germany,84,17.5,Germany,2007
Azim Premji,India,61,17.1,India,2007
Lee Shau Kee,Hong Kong,79,17,Hong Kong,2007
Jim Walton,United States,59,16.8,United States,2007
Christy Walton & family,United States,52,16.7,United States,2007
S Robson Walton,United States,63,16.7,United States,2007
Sergey Brin,United States,33,16.6,United States,2007
Larry Page,United States,34,16.6,United States,2007
Alice Walton,United States,57,16.6,United States,2007
Helen Walton,United States,87,16.4,United States,2007
Michael Dell,United States,42,15.8,United States,2007
Steven Ballmer,United States,51,15,United States,2007
Kirk Kerkorian,United States,89,15,United States,2007
"Raymond, Thomas & Walter Kwok",Hong Kong,n/a,15,Hong Kong,2007
Francois Pinault,France,70,14.5,France,2007
Suleiman Kerimov,Russia,41,14.4,Russia,2007
Vladimir Lisin,Russia,50,14.3,Russia,2007
Jack Taylor & family,United States,84,13.9,United States,2007
Vladimir Potanin,Russia,46,13.5,Russia,2007
Mikhail Prokhorov,Russia,41,13.5,Russia,2007
Oleg Deripaska,Russia,39,13.3,Russia,2007
Michael Otto & family,Germany,63,13.3,Germany,2007
Carl Icahn,United States,71,13,United States,2007
Abigail Johnson,United States,45,13,United States,2007
Adolf Merckle,Germany,72,12.8,Germany,2007
Barbara Cox Anthony,United States,83,12.6,United States,2007
Anne Cox Chambers,United States,87,12.6,United States,2007
Mikhail Fridman,Russia,42,12.6,Russia,2007
Vagit Alekperov,Russia,56,12.4,Russia,2007
Charles Koch,United States,71,12,United States,2007
David Koch,United States,66,12,United States,2007
Silvio Berlusconi & family,Italy,70,11.8,Italy,2007
Nasser Al-Kharafi & family,Kuwait,63,11.5,Kuwait,2007
Leonardo Del Vecchio,Italy,71,11.5,Italy,2007
Alexei Mordashov,Russia,41,11.2,Russia,2007
