name,age,wealth,country,residence,year
Marvin Herb,67,1.1,United States,"United States , IL , Chicago",2004
Stephen Jarislowsky,78,1.1,Canada,"Canada , Montreal",2004
William Kellogg,60,1.1,United States,"United States , WI , Oconomowoc",2004
John Krehbiel Jr,66,1.1,United States,"United States , IL , Lake Forest",2004
Guy Laliberte,44,1.1,Canada,"Canada , Montreal",2004
Jorge Paulo Lemann,64,1.1,Brazil,"Brazil , Rio de Janeiro",2004
Richard Li,37,1.1,Hong Kong,"Hong Kong , Hong Kong",2004
Gary Magness,50,1.1,United States,"United States , CO , Cherry Hills",2004
Billy Joe (Red) McCombs,76,1.1,United States,"United States , TX , San Antonio",2004
Andrei Melnichenko,32,1.1,Russia,"Russia , Moscow",2004
Arnon Milchan,59,1.1,Israel,"Israel , Tel Aviv",2004
Anthony O'Reilly,67,1.1,Ireland,"Ireland , Dublin",2004
Richard Peery,63,1.1,United States,"United States , CA , Palo Alto",2004
Marc Rich,69,1.1,United States,"Switzerland , Meggan",2004
Arthur Rock,77,1.1,United States,"United States , CA , San Francisco",2004
Isaac Saba Raffoul & family,80,1.1,Mexico,"Mexico , Mexico City",2004
Richard Scaife,71,1.1,United States,"United States , PA , Pittsburgh",2004
Monika Schoeller,65,1.1,Germany,Germany,2004
Herbert Siegel,76,1.1,United States,"United States , NY , New York",2004
Kenny Troutt,56,1.1,United States,"United States , TX , Dallas",2004
Dieter von Holtzbrinck,62,1.1,Germany,"Germany , Stuttgart",2004
Stefan von Holtzbrinck,40,1.1,Germany,"Germany , Stuttgart",2004
Charlotte Colket Weber,59,1.1,United States,"United States , FL , Ocala",2004
Oprah Winfrey,50,1.1,United States,"United States , IL , Chicago",2004
Vivian Wu,90,1.1,Taiwan,"Taiwan , Jiangsu province",2004
Stephen Wynn,62,1.1,United States,"United States , NV , Las Vegas",2004
Larry Yung,62,1.1,China,"China , Shanghai",2004
Henry Zachry Jr,69,1.1,United States,"United States , TX , San Antonio",2004
Alexander Abramov,45,1,Russia,"Russia , Moscow",2004
Anil Agarwal,50,1,India,India,2004
Khalaf Al Habtoor,--,1,United Arab Emirates,"United Arab Emirates , Dubai",2004
John Anderson,86,1,United States,"United States , CA , Bel Air",2004
George Argyros,67,1,United States,"United States , CA , Newport Beach",2004
Neil Bluhm,66,1,United States,"United States , IL , Chicago",2004
Sergey Brin,31,1,United States,"United States , CA , Mountain View",2004
Gary Burrell,66,1,United States,"United States , KS , Stilwell",2004
Jason Chang & family,--,1,Taiwan,"Taiwan , Taipei",2004
Turgay Ciner,48,1,Turkey,"Turkey , Istanbul",2004
Steven Cohen,48,1,United States,"United States , CT , Greenwich",2004
Gary Comer,76,1,United States,"United States , WI , Dodgeville",2004
Roy Disney,74,1,United States,"United States , CA , Los Angeles",2004
Bulent Eczacibasi,--,1,Turkey,"Turkey , Istanbul",2004
William Ford Sr,79,1,United States,"United States , MI , Grosse Pointe Shores",2004
Emilio Gnutti,57,1,Italy,"Italy , Brescia",2004
John Hargreaves & family,60,1,United Kingdom,"United Kingdom , Lancashire County",2004
Dietmar Hopp,63,1,Germany,"Germany , Waldorf",2004
Jerral Jones,61,1,United States,"United States , TX , Dallas",2004
Morris Kahn,74,1,Israel,"Israel , Unknown",2004
Jerome Kohlberg Jr,78,1,United States,"United States , NY , Mt. Kisco",2004
Alfred Mann,78,1,United States,"United States , CA , Los Angeles",2004
Bruce McCaw,56,1,United States,"United States , WA , Seattle",2004
Roger Milliken,88,1,United States,"United States , SC , Spartanburg",2004
Larry Page,31,1,United States,"United States , CA , Mountain View",2004
Liselott Persson,--,1,Sweden,Sweden,2004
Stefano Pessina,62,1,Italy,"Monaco , Monte Carlo",2004
Sergei Popov,32,1,Russia,"Russia , Moscow",2004
Joanne (JK) Rowling,38,1,United Kingdom,"Scotland , Edinburgh",2004
Lily Safra,--,1,Brazil,Monaco,2004
Charles Simonyi,56,1,United States,"United States , WA , Medina",2004
A Alfred Taubman,79,1,United States,"United States , MI , Bloomfield Hills",2004
Olav Thon,80,1,Norway,"Norway , Oslo",2004
Tiong Hiew King,68,1,Malaysia,"Malaysia , Sibu",2004
Hope Hill Van Beuren,67,1,United States,"United States , RI , Middletown",2004
Dean White,80,1,United States,"United States , IN , Crown Point",2004
