name,country,age,wealth,residence,year
William Gates III,United States,50,50,United States,2006
Warren Buffett,United States,75,42,United States,2006
Carlos Slim Helu,Mexico,66,30,Mexico,2006
Ingvar Kamprad,Sweden,79,28,Switzerland,2006
Lakshmi Mittal,India,55,23.5,United Kingdom,2006
Paul Allen,United States,53,22,United States,2006
Bernard Arnault,France,57,21.5,France,2006
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,49,20,Saudi Arabia,2006
Kenneth Thomson & family,Canada,82,19.6,Canada,2006
Li Ka-shing,Hong Kong,77,18.8,Hong Kong,2006
Roman Abramovich,Russia,39,18.2,United Kingdom,2006
Michael Dell,United States,41,17.1,United States,2006
Karl Albrecht,Germany,86,17,Germany,2006
Sheldon Adelson,United States,72,16.1,United States,2006
Liliane Bettencourt,France,83,16,France,2006
Lawrence Ellison,United States,61,16,United States,2006
Christy Walton,United States,51,15.9,United States,2006
Jim Walton,United States,58,15.9,United States,2006
S Robson Walton,United States,62,15.8,United States,2006
Alice Walton,United States,56,15.7,United States,2006
Helen Walton,United States,86,15.6,United States,2006
Theo Albrecht,Germany,83,15.2,Germany,2006
Amancio Ortega,Spain,70,14.8,Spain,2006
Steven Ballmer,United States,50,13.6,United States,2006
Azim Premji,India,60,13.3,India,2006
Sergey Brin,United States,32,12.9,United States,2006
Larry Page,United States,33,12.8,United States,2006
Abigail Johnson,United States,44,12.5,United States,2006
Nasser Al-Kharafi & family,Kuwait,62,12.4,Kuwait,2006
Barbara Cox Anthony,United States,82,12.4,United States,2006
Anne Cox Chambers,United States,86,12.4,United States,2006
Stefan Persson,Sweden,58,12.3,Sweden,2006
Charles Koch,United States,70,12,United States,2006
David Koch,United States,65,12,United States,2006
"Raymond, Thomas & Walter Kwok",Hong Kong,n/a,11.6,Hong Kong,2006
Adolf Merckle,Germany,71,11.5,Germany,2006
Sulaiman Bin Abdul Al Rajhi,Saudi Arabia,86,11,Saudi Arabia,2006
Vagit Alekperov,Russia,55,11,Russia,2006
Silvio Berlusconi,Italy,69,11,Italy,2006
Lee Shau Kee,Hong Kong,78,11,Hong Kong,2006
Vladimir Lisin,Russia,49,10.7,Russia,2006
Michael Otto & family,Germany,62,10.4,Germany,2006
Pierre Omidyar,United States,38,10.1,United States,2006
Leonardo Del Vecchio,Italy,70,10,Italy,2006
Michele Ferrero & family,Italy,79,10,Monaco,2006
Forrest Mars Jr,United States,74,10,United States,2006
Jacqueline Mars,United States,66,10,United States,2006
John Mars,United States,69,10,United States,2006
Viktor Vekselberg,Russia,48,10,Russia,2006
Mikhail Fridman,Russia,41,9.7,Russia,2006
