name,country,age,wealth,residence,year
Ng Teng Fong & family,Singapore,80,5.5,Singapore,2009
Patrick Soon-Shiong,United States,57,5.5,United States,2009
Serge Dassault & family,France,83,5.4,France,2009
Erivan Haub & family,Germany,76,5.4,Germany,2009
Jorge Paulo Lemann,Brazil,69,5.3,Brazil,2009
Eli Broad,United States,75,5.2,United States,2009
Kunio Busujima & family,Japan,83,5.2,Japan,2009
Karl-Heinz Kipp,Germany,85,5.2,Switzerland,2009
Vladimir Lisin,Russia,52,5.2,Russia,2009
Reinhold Wurth,Germany,73,5.2,Germany,2009
Philip Anschutz,United States,69,5,United States,2009
Kirk Kerkorian,United States,91,5,United States,2009
Nicky Oppenheimer & family,South Africa,63,5,South Africa,2009
David & Simon Reuben,United Kingdom,n/a,5,United Kingdom,2009
Kushal Pal Singh,India,77,5,India,2009
Galen Weston & family,Canada,68,5,Canada,2009
Mansour bin Zayed Al Nahayan,United Arab Emirates,39,4.9,United Arab Emirates,2009
Philip & Cristina Green,United Kingdom,57,4.8,United Kingdom,2009
Antonia Johnson,Sweden,65,4.8,Sweden,2009
Klaus-Michael Kuhne,Germany,71,4.7,Switzerland,2009
Charlene de Carvalho-Heineken,Netherlands,54,4.6,United Kingdom,2009
Stefan Quandt,Germany,42,4.6,Germany,2009
Robert Bass,United States,61,4.5,United States,2009
David Geffen,United States,66,4.5,United States,2009
Graeme Hart,New Zealand,53,4.5,New Zealand,2009
James Kennedy,United States,61,4.5,United States,2009
Paul Milstein & family,United States,86,4.5,United States,2009
Blair Parry-Okeden,United States,58,4.5,Australia,2009
Henry Ross Perot Sr,United States,78,4.5,United States,2009
Hasso Plattner,Germany,65,4.5,Germany,2009
Hiroshi Yamauchi,Japan,81,4.5,Japan,2009
Alexander Abramov,Russia,50,4.4,Russia,2009
Richard DeVos,United States,83,4.4,United States,2009
Eric Schmidt,United States,53,4.4,United States,2009
Leonid Fedun,Russia,52,4.3,Russia,2009
Alexei Mordashov,Russia,43,4.3,Russia,2009
Kumar Birla,India,41,4.2,India,2009
Michael Kadoorie & family,Hong Kong,68,4.2,Hong Kong,2009
Akira Mori & family,Japan,72,4.2,Japan,2009
Robert Rowling,United States,55,4.2,United States,2009
Ricardo Salinas Pliego & family,Mexico,53,4.2,Mexico,2009
Dennis Washington,United States,74,4.2,United States,2009
Karl Wlaschek,Austria,91,4.2,Austria,2009
Johanna Quandt,Germany,82,4.1,Germany,2009
Leonard Blavatnik,United States,51,4,United Kingdom,2009
Cheng Yu-tung,Hong Kong,83,4,Hong Kong,2009
John Fredriksen,Cyprus,64,4,United Kingdom,2009
German Khan,Russia,47,4,Russia,2009
Joseph Lau,Hong Kong,57,4,Hong Kong,2009
Richard LeFrak & family,United States,63,4,United States,2009
John Menard Jr,United States,69,4,United States,2009
Rupert Murdoch,United States,78,4,United States,2009
Donald Newhouse,United States,79,4,United States,2009
Samuel Newhouse Jr,United States,81,4,United States,2009
Sammy Ofer & family,Israel,87,4,Monaco,2009
Ira Rennert,United States,75,4,United States,2009
Julio Mario Santo Domingo,Colombia,85,4,Colombia,2009
Leonard Stern,United States,71,4,United States,2009
Charles Ergen,United States,56,3.9,United States,2009
"James, Arthur & John Irving",Canada,n/a,3.9,Canada,2009
Harold Simmons,United States,77,3.9,United States,2009
Gustavo Cisneros & family,Venezuela,63,3.8,Venezuela,2009
Spiro Latsis & family,Greece,62,3.8,Switzerland,2009
Bernard Ecclestone & family,United Kingdom,78,3.7,United Kingdom,2009
Eitaro Itoyama,Japan,66,3.7,Japan,2009
Dietrich Mateschitz,Austria,64,3.7,Austria,2009
Masayoshi Son,Japan,51,3.7,Japan,2009
Chaleo Yoovidhya,Thailand,77,3.7,Thailand,2009
Pauline MacMillan Keinath,United States,75,3.6,United States,2009
Cargill MacMillan Jr,United States,82,3.6,United States,2009
Whitney MacMillan,United States,80,3.6,United States,2009
Pierre Omidyar,United States,41,3.6,United States,2009
Marion MacMillan Pictet,United States,76,3.6,Bermuda,2009
Anton Schlecker,Germany,64,3.6,Germany,2009
Andreas Strungmann,Germany,59,3.6,Germany,2009
Thomas Strungmann,Germany,59,3.6,Germany,2009
William Cook,United States,77,3.5,United States,2009
Oleg Deripaska,Russia,41,3.5,Russia,2009
Stanley Druckenmiller,United States,55,3.5,United States,2009
Harold Hamm,United States,63,3.5,United States,2009
Saleh Kamel,Saudi Arabia,67,3.5,Saudi Arabia,2009
Bruce Kovner,United States,64,3.5,United States,2009
Nobutada Saji & family,Japan,63,3.5,Japan,2009
Maria-Elisabeth & Georg Schaeffler,Germany,n/a,3.5,Germany,2009
Charles Schwab,United States,71,3.5,United States,2009
Stef Wertheimer & family,Israel,83,3.5,Israel,2009
Aloys Wobben,Germany,57,3.5,Germany,2009
Daniel Ziff,United States,37,3.5,United States,2009
Dirk Ziff,United States,44,3.5,United States,2009
Robert Ziff,United States,42,3.5,United States,2009
Sheldon Adelson,United States,75,3.4,United States,2009
Jeronimo Arango & family,Mexico,83,3.4,Mexico,2009
Heinz-Horst Deichmann,Germany,82,3.4,Germany,2009
Steven Jobs,United States,54,3.4,United States,2009
Hiroshi Mikitani,Japan,44,3.4,Japan,2009
Saleh Al Rajhi,Saudi Arabia,97,3.3,Saudi Arabia,2009
Americo Amorim,Portugal,74,3.3,Portugal,2009
Charles Cadogan & family,United Kingdom,72,3.3,United Kingdom,2009
Adi Godrej & family,India,66,3.3,India,2009
Iskander Makhmudov,Russia,45,3.3,Russia,2009
David Murdock,United States,85,3.3,United States,2009
Tsai Wan-Tsai & family,Taiwan,79,3.3,Taiwan,2009
Ty Warner,United States,65,3.3,United States,2009
Jean-Claude Decaux & family,France,71,3.2,France,2009
Boris Ivanishvili,Russia,53,3.2,Georgia,2009
Richard Kinder,United States,65,3.2,United States,2009
Theodore Lerner,United States,83,3.2,United States,2009
Stephen Ross,United States,68,3.2,United States,2009
Lester Crown & family,United States,83,3.1,United States,2009
Aloysio de Andrade Faria,Brazil,88,3.1,Brazil,2009
Stein Erik Hagen & family,Norway,52,3.1,Norway,2009
Bradley Hughes,United States,75,3.1,United States,2009
Suleiman Kerimov,Russia,43,3.1,Russia,2009
Alexei Kuzmichev,Russia,46,3.1,Russia,2009
Dmitry Rybolovlev,Russia,42,3.1,Russia,2009
John Sall,United States,60,3.1,United States,2009
Nassef Sawiris,Egypt,47,3.1,Egypt,2009
Majid Al Futtaim,United Arab Emirates,n/a,3,United Arab Emirates,2009
Ronald Burkle,United States,56,3,United States,2009
Robert Holding,United States,82,3,United States,2009
Heidi Horten,Austria,68,3,Austria,2009
Henry Kravis,United States,65,3,United States,2009
E Stanley Kroenke,United States,61,3,United States,2009
Lee Kun-Hee,South Korea,67,3,South Korea,2009
Liu Yongxing,China,60,3,China,2009
George Lucas,United States,64,3,United States,2009
Naguib Sawiris,Egypt,54,3,Egypt,2009
Dilip Shanghvi,India,53,3,India,2009
John Sobrato & family,United States,69,3,United States,2009
Steven Spielberg,United States,62,3,United States,2009
Dorothea Steinbruch & family,Brazil,n/a,3,Brazil,2009
Heinz Hermann Thiele & family,Germany,67,3,Germany,2009
Samuel Zell,United States,67,3,United States,2009
Micky Arison,United States,59,2.9,United States,2009
Bahaa Hariri,Switzerland,42,2.9,Switzerland,2009
Husnu Ozyegin,Turkey,64,2.9,Turkey,2009
Saif Al Ghurair & family,United Arab Emirates,n/a,2.8,United Arab Emirates,2009
Giorgio Armani,Italy,74,2.8,Italy,2009
Antonio Ermirio de Moraes & family,Brazil,80,2.8,Brazil,2009
Simon Halabi,United Kingdom,59,2.8,United Kingdom,2009
Michael Herz,Germany,63,2.8,Germany,2009
Wolfgang Herz,Germany,58,2.8,Germany,2009
Paul Tudor Jones II,United States,54,2.8,United States,2009
Mehmet Emin Karamehmet,Turkey,64,2.8,Turkey,2009
Ralph Lauren,United States,69,2.8,United States,2009
Hermann Schnabel,Germany,88,2.8,Germany,2009
Shari Arison,Israel,51,2.7,Israel,2009
John Arnold,United States,35,2.7,United States,2009
Martin & Olivier Bouygues,France,56/58,2.7,France,2009
Walter Haefner,Switzerland,98,2.7,Switzerland,2009
Otto Happel,Germany,61,2.7,Switzerland,2009
Savitri Jindal,India,59,2.7,India,2009
Lee Shin Cheng,Malaysia,69,2.7,Malaysia,2009
Frank Lowy & family,Australia,78,2.7,Australia,2009
Thomas Schmidheiny,Switzerland,63,2.7,Switzerland,2009
Henry Sy & family,Philippines,84,2.7,Philippines,2009
Oprah Winfrey,United States,55,2.7,United States,2009
Zhang Jindong,China,46,2.7,China,2009
Otto Beisheim,Germany,85,2.6,Switzerland,2009
Paul Desmarais,Canada,82,2.6,Canada,2009
Barbara Piasecka Johnson,United States,72,2.6,Monaco,2009
Ann Walton Kroenke,United States,60,2.6,United States,2009
German Larrea Mota Velasco & family,Mexico,55,2.6,Mexico,2009
Sergio Mantegazza,Switzerland,81,2.6,Switzerland,2009
Rosalia Mera,Spain,65,2.6,Spain,2009
Gordon Moore,United States,80,2.6,United States,2009
Victor Pinchuk,Ukraine,48,2.6,Ukraine,2009
George Roberts,United States,65,2.6,United States,2009
Michael & Rainer Schmidt-Ruthenbeck,Germany,n/a,2.6,Germany,2009
Malvinder & Shivinder Singh,India,33,2.6,India,2009
Tsai Eng Meng,Taiwan,52,2.6,Taiwan,2009
Peter Woo & family,Hong Kong,63,2.6,Hong Kong,2009
Zhou Chengjian & family,China,44,2.6,China,2009
Riley Bechtel,United States,57,2.5,United States,2009
Stephen Bechtel Jr,United States,83,2.5,United States,2009
Richard Branson,United Kingdom,58,2.5,United Kingdom,2009
Edgar Bronfman Sr,United States,79,2.5,United States,2009
Ray Dalio,United States,59,2.5,United States,2009
Aliko Dangote,Nigeria,51,2.5,Nigeria,2009
John Paul DeJoria,United States,65,2.5,United States,2009
Ray Lee Hunt,United States,66,2.5,United States,2009
Charles Johnson,United States,76,2.5,United States,2009
Guy Laliberte,Canada,49,2.5,Canada,2009
Joseph Lewis,United Kingdom,72,2.5,Bahamas,2009
Liu Yonghao,China,57,2.5,China,2009
Pallonji Mistry,Ireland,79,2.5,India,2009
Reinhard Mohn & family,Germany,87,2.5,Germany,2009
James Packer,Australia,41,2.5,Australia,2009
Viktor Rashnikov,Russia,60,2.5,Russia,2009
Haim Saban,United States,64,2.5,United States,2009
Stephan Schmidheiny,Switzerland,61,2.5,Switzerland,2009
Stephen Schwarzman,United States,62,2.5,United States,2009
Bernard (Barry) Sherman,Canada,67,2.5,Canada,2009
David Sun,United States,57,2.5,United States,2009
Takemitsu Takizaki,Japan,63,2.5,Japan,2009
Teh Hong Piow,Malaysia,79,2.5,Malaysia,2009
John Tu,United States,67,2.5,United States,2009
Bernard Broermann,Germany,65,2.4,Germany,2009
Clive Calder,United Kingdom,62,2.4,Cayman Islands,2009
Albert Frere,Belgium,83,2.4,Belgium,2009
Alain Merieux & family,France,71,2.4,France,2009
Leonid Mikhelson,Russia,53,2.4,Russia,2009
Sergei Popov,Russia,37,2.4,Russia,2009
Luis Carlos Sarmiento,Colombia,76,2.4,Colombia,2009
Glen Taylor,United States,67,2.4,United States,2009
Marcel Herrmann Telles,Brazil,59,2.4,Brazil,2009
Joan Tisch,United States,83,2.4,United States,2009
William Wrigley Jr,United States,45,2.4,United States,2009
Isak Andic,Spain,54,2.3,Spain,2009
Mark Cuban,United States,50,2.3,United States,2009
Ray Dolby,United States,76,2.3,United States,2009
John Dorrance III,Ireland,65,2.3,Ireland,2009
Philip Falcone,United States,45,2.3,United States,2009
Nancy Walton Laurie,United States,57,2.3,United States,2009
Mitchell Rales,United States,52,2.3,United States,2009
Richard Schulze,United States,68,2.3,United States,2009
Yang Huiyan,China,27,2.3,China,2009
Pierre Bellon & family,France,79,2.2,France,2009
Charles Butt & family,United States,71,2.2,United States,2009
Malcolm Glazer & family,United States,80,2.2,United States,2009
Laurence Graff,United Kingdom,70,2.2,Switzerland,2009
Masatoshi Ito,Japan,84,2.2,Japan,2009
James Jannard,United States,59,2.2,United States,2009
Rupert Johnson Jr,United States,67,2.2,United States,2009
Patrick McGovern,United States,71,2.2,United States,2009
Denis O'Brien,Ireland,50,2.2,Ireland,2009
A Jerrold Perenchio,United States,78,2.2,United States,2009
David Rockefeller Sr,United States,93,2.2,United States,2009
Steven Udvar-Hazy,United States,63,2.2,United States,2009
Michael Ying,Hong Kong,59,2.2,Hong Kong,2009
David Azrieli & family,Canada,86,2.1,Canada,2009
William Davidson,United States,86,2.1,United States,2009
Henry Hillman,United States,90,2.1,United States,2009
Alicia Koplowitz,Spain,56,2.1,Spain,2009
Kjeld Kirk Kristiansen,Denmark,61,2.1,Denmark,2009
Mary Alice Dorrance Malone,United States,59,2.1,United States,2009
Masahiro Miki,Japan,53,2.1,Japan,2009
Robert Miller,Canada,63,2.1,Canada,2009
Jim Pattison,Canada,80,2.1,Canada,2009
Vladimir Potanin,Russia,48,2.1,Russia,2009
Steven Rales,United States,58,2.1,United States,2009
G M Rao,India,58,2.1,India,2009
Moise Safra,Brazil,74,2.1,Brazil,2009
Carlos Alberto Sicupira,Brazil,61,2.1,Brazil,2009
Charoen Sirivadhanabhakdi,Thailand,64,2.1,Thailand,2009
Albert von Thurn und Taxis,Germany,25,2.1,Germany,2009
Sulaiman Algosaibi,Saudi Arabia,n/a,2,Saudi Arabia,2009
Pyotr Aven,Russia,54,2,Russia,2009
David & Frederick Barclay,United Kingdom,75,2,United Kingdom,2009
Lee Bass,United States,52,2,United States,2009
Sid Bass,United States,66,2,United States,2009
Khalid Bin Mahfouz & family,Saudi Arabia,80,2,Saudi Arabia,2009
John de Mol,Netherlands,54,2,Netherlands,2009
Gordon Getty,United States,75,2,United States,2009
Tom Gores,United States,44,2,United States,2009
Terry Gou,Taiwan,58,2,Taiwan,2009
Nicolas Hayek,Switzerland,80,2,Switzerland,2009
Diane Hendricks,United States,62,2,United States,2009
Daniela Herz,Germany,55,2,Germany,2009
Gunter Herz,Germany,68,2,Germany,2009
William Hilton,United States,81,2,United States,2009
H Wayne Huizenga,United States,71,2,United States,2009
Mohammed Ibrahim,United Kingdom,n/a,2,United Kingdom,2009
Micky Jagtiani,India,57,2,United Arab Emirates,2009
Peter Kellogg,United States,66,2,United States,2009
Edward Lampert,United States,46,2,United States,2009
Leonard Lauder,United States,76,2,United States,2009
Ronald Lauder,United States,65,2,United States,2009
James Leprino,United States,71,2,United States,2009
Wallace McCain,Canada,79,2,Canada,2009
Frederik GH Meijer & family,United States,89,2,United States,2009
Lorenzo Mendoza & family,Venezuela,43,2,Venezuela,2009
Najib Mikati,Lebanon,53,2,Lebanon,2009
Taha Mikati,Lebanon,60,2,Lebanon,2009
Arnon Milchan,Israel,64,2,Israel,2009
Michael Milken,United States,62,2,United States,2009
Daniel Och,United States,48,2,United States,2009
Liselott Persson,Sweden,59,2,Sweden,2009
T Boone Pickens,United States,80,2,United States,2009
Richard Rainwater,United States,64,2,United States,2009
Phillip Ruffin,United States,74,2,United States,2009
Alexandra Schorghuber,Germany,50,2,Germany,2009
Shen Wenrong,China,63,2,China,2009
Sheldon Solow,United States,80,2,United States,2009
Beny Steinmetz,Israel,52,2,Israel,2009
Ronda Stryker,United States,54,2,United States,2009
Olav Thon,Norway,85,2,Norway,2009
Bruce Wasserstein,United States,61,2,United States,2009
Vladimir Bogdanov,Russia,57,1.9,Russia,2009
Bennett Dorrance,United States,63,1.9,United States,2009
"Archie Aldis ""Red"" Emmerson",United States,79,1.9,United States,2009
Andrew Forrest,Australia,47,1.9,Australia,2009
William Gross,United States,64,1.9,United States,2009
Mikhail Gutseriev,Russia,51,1.9,United Kingdom,2009
Amos Hostetter Jr,United States,72,1.9,United States,2009
Michael Jaharis,United States,80,1.9,United States,2009
H Fisk Johnson,United States,50,1.9,United States,2009
Imogene Powers Johnson,United States,79,1.9,United States,2009
S Curtis Johnson,United States,53,1.9,United States,2009
Helen Johnson-Leipold,United States,52,1.9,United States,2009
Winnie Johnson-Marquart,United States,49,1.9,United States,2009
Manuel Jove,Spain,67,1.9,Spain,2009
George Mitchell,United States,89,1.9,United States,2009
Quek Leng Chan,Malaysia,68,1.9,Malaysia,2009
Gina Rinehart,Australia,55,1.9,Australia,2009
"Robert E ""Ted"" Turner",United States,70,1.9,United States,2009
Eugen Viehof & family,Germany,92,1.9,Germany,2009
Wee Cho Yaw & family,Singapore,80,1.9,Singapore,2009
Zong Qinghou,China,63,1.9,China,2009
Gautam Adani,India,46,1.8,India,2009
Rinat Akhmetov,Ukraine,42,1.8,Ukraine,2009
Abdulla Al Futtaim,United Arab Emirates,n/a,1.8,United Arab Emirates,2009
Mohammed Al Issa,Saudi Arabia,n/a,1.8,Saudi Arabia,2009
Abdullah Al Rajhi,Saudi Arabia,n/a,1.8,Saudi Arabia,2009
John Anderson,United States,91,1.8,United States,2009
Nadhmi Auchi,United Kingdom,71,1.8,United Kingdom,2009
Nicolas Berggruen,United States,47,1.8,United States,2009
Charles Bronfman,Canada,77,1.8,Canada,2009
Chen Din Hwa,Hong Kong,86,1.8,Hong Kong,2009
Philippe Foriel-Destezet,France,73,1.8,United Kingdom,2009
Alexander Frolov,Russia,44,1.8,Russia,2009
Frits Goldschmeding,Netherlands,75,1.8,Netherlands,2009
David Gottesman,United States,82,1.8,United States,2009
He Xiangjian & family,China,66,1.8,China,2009
Martha Ingram & family,United States,73,1.8,United States,2009
Jess Jackson,United States,79,1.8,United States,2009
Indu Jain,India,72,1.8,India,2009
Mike Lazaridis,Canada,48,1.8,Canada,2009
Fredrik Lundberg,Sweden,57,1.8,Sweden,2009
Dinu Patriciu,Romania,58,1.8,Romania,2009
Gregorio Perez Companc & family,Argentina,74,1.8,Argentina,2009
Florentino Perez,Spain,62,1.8,Spain,2009
Stewart Rahr,United States,63,1.8,United States,2009
Robert Rich Jr,United States,68,1.8,United States,2009
Edward Roski Jr,United States,70,1.8,United States,2009
Dieter Schnabel,Germany,63,1.8,Germany,2009
Jeffrey Skoll,Canada,44,1.8,United States,2009
John Sperling,United States,88,1.8,United States,2009
Sylvia Stroher,Germany,54,1.8,Germany,2009
Nikolai Tsvetkov,Russia,48,1.8,Russia,2009
Viktor Vekselberg,Russia,51,1.8,Russia,2009
Yeoh Tiong Lay & family,Malaysia,79,1.8,Malaysia,2009
Leonore Annenberg,United States,91,1.7,United States,2009
James Balsillie,Canada,48,1.7,Canada,2009
Frank Batten Sr,United States,82,1.7,United States,2009
Hubert Burda,Germany,69,1.7,Germany,2009
Alan Casden,United States,63,1.7,United States,2009
John Catsimatidis,United States,60,1.7,United States,2009
Charles Dolan & family,United States,82,1.7,United States,2009
Thomas Frist Jr & family,United States,70,1.7,United States,2009
Phillip Frost,United States,72,1.7,United States,2009
William Fung,Hong Kong,61,1.7,Hong Kong,2009
Michael Hartono,Indonesia,69,1.7,Indonesia,2009
R Budi Hartono,Indonesia,68,1.7,Indonesia,2009
William Randolph Hearst III,United States,59,1.7,United States,2009
Esther Koplowitz,Spain,58,1.7,Spain,2009
Shiv Nadar,India,63,1.7,India,2009
Axel Oberwelland,Germany,42,1.7,Germany,2009
Peter Peterson,United States,82,1.7,United States,2009
Onsi Sawiris,Egypt,79,1.7,Egypt,2009
Leslie Wexner,United States,71,1.7,United States,2009
Dean White,United States,85,1.7,United States,2009
Peter Buck,United States,78,1.6,United States,2009
John Caudwell,United Kingdom,56,1.6,United Kingdom,2009
Jim Davis & family,United States,65,1.6,United States,2009
Fred DeLuca,United States,61,1.6,United States,2009
Victor Fung,United States,63,1.6,Hong Kong,2009
Hui Wing Mau,Hong Kong,58,1.6,Hong Kong,2009
Barry Lam,Taiwan,59,1.6,Taiwan,2009
Richard Peery,United States,68,1.6,United States,2009
Stefano Pessina,Italy,67,1.6,Monaco,2009
Bruno Schroder & family,United Kingdom,76,1.6,United Kingdom,2009
Walter Scott Jr,United States,77,1.6,United States,2009
David Shaw,United States,58,1.6,United States,2009
Friede Springer,Germany,66,1.6,Germany,2009
Sukanto Tanoto,Indonesia,59,1.6,Singapore,2009
Sarik Tara,Turkey,78,1.6,Turkey,2009
Donald Trump,United States,62,1.6,United States,2009
Alisher Usmanov,Russia,55,1.6,Russia,2009
Zhang Xin & family,China,44,1.6,China,2009
Ali Ibrahim Agaoglu,Turkey,55,1.5,Turkey,2009
Anil Agarwal,India,55,1.5,United Kingdom,2009
Dennis Albaugh,United States,59,1.5,United States,2009
John Arrillaga,United States,71,1.5,United States,2009
Louis Bacon,United States,50,1.5,United Kingdom,2009
Edward Bass,United States,64,1.5,United States,2009
Carlo Benetton,Italy,65,1.5,Italy,2009
Gilberto Benetton,Italy,67,1.5,Italy,2009
Giuliana Benetton,Italy,71,1.5,Italy,2009
Luciano Benetton,Italy,73,1.5,Italy,2009
Neil Bluhm,United States,71,1.5,United States,2009
Chen Fashu,China,48,1.5,China,2009
Chu Lam Yiu,Hong Kong,39,1.5,Hong Kong,2009
Chung Mong-Koo,South Korea,71,1.5,South Korea,2009
Dermot Desmond,Ireland,59,1.5,Ireland,2009
Abilio dos Santos Diniz,Brazil,72,1.5,Brazil,2009
Israel Englander,United States,60,1.5,United States,2009
Thomas Friedkin,United States,73,1.5,United States,2009
Rolf Gerling,Germany,54,1.5,Switzerland,2009
Kenneth Griffin,United States,40,1.5,United States,2009
Timothy Headington,United States,58,1.5,United States,2009
Hans-Werner Hector,Germany,69,1.5,Germany,2009
Jeffrey Hildebrand,United States,50,1.5,United States,2009
Joseph Jamail Jr,United States,83,1.5,United States,2009
Ryoichi Jinnai,Japan,82,1.5,Japan,2009
Daryl Katz,Canada,47,1.5,Canada,2009
Brad Kelley,United States,52,1.5,United States,2009
Randal Kirk,United States,55,1.5,United States,2009
William Koch,United States,68,1.5,United States,2009
Robert Kraft,United States,67,1.5,United States,2009
Lev Leviev,Israel,53,1.5,United Kingdom,2009
Liang Wengen,China,52,1.5,China,2009
Lu Zhiqiang,China,56,1.5,China,2009
John Malone,United States,68,1.5,United States,2009
Clayton Mathile,United States,68,1.5,United States,2009
Mario Moretti Polegato,Italy,56,1.5,Italy,2009
Henry Ross Perot Jr,United States,50,1.5,United States,2009
Cyrus Poonawalla,India,67,1.5,India,2009
Richard Pratt,Australia,74,1.5,Australia,2009
Sean Quinn & family,Ireland,62,1.5,Ireland,2009
Trevor Rees-Jones,United States,58,1.5,United States,2009
Marc Rich,United States,74,1.5,Switzerland,2009
Kjell Inge Rokke,Norway,50,1.5,Norway,2009
Donald Schneider,United States,73,1.5,United States,2009
Shi Yuzhu,China,47,1.5,China,2009
Thomas Siebel,United States,56,1.5,United States,2009
Jerry Speyer,United States,68,1.5,United States,2009
Katsumi Tada,Japan,63,1.5,Japan,2009
Harry Triguboff,Australia,76,1.5,Australia,2009
Klaus Tschira,Germany,68,1.5,Germany,2009
John Whittaker,United Kingdom,67,1.5,United Kingdom,2009
Stephen Wynn,United States,67,1.5,United States,2009
Zhou Furen & family,China,58,1.5,China,2009
Mortimer Zuckerman,United States,71,1.5,United States,2009
S Daniel Abraham,United States,84,1.4,United States,2009
Francesco Gaetano Caltagirone,Italy,66,1.4,Italy,2009
Leon Charney,United States,67,1.4,United States,2009
William Conway Jr,United States,59,1.4,United States,2009
Phoebe Hearst Cooke,United States,82,1.4,United States,2009
