name,country,age,wealth,residence,year
William Gates III,United States,53,40,United States,2009
Warren Buffett,United States,78,37,United States,2009
Carlos Slim Helu & family,Mexico,69,35,Mexico,2009
Lawrence Ellison,United States,64,22.5,United States,2009
Ingvar Kamprad & family,Sweden,83,22,Switzerland,2009
Karl Albrecht,Germany,89,21.5,Germany,2009
Mukesh Ambani,India,51,19.5,India,2009
Lakshmi Mittal,India,58,19.3,United Kingdom,2009
Theo Albrecht,Germany,87,18.8,Germany,2009
Amancio Ortega,Spain,73,18.3,Spain,2009
Jim Walton,United States,61,17.8,United States,2009
Alice Walton,United States,59,17.6,United States,2009
Christy Walton & family,United States,54,17.6,United States,2009
S Robson Walton,United States,65,17.6,United States,2009
Bernard Arnault,France,60,16.5,France,2009
Li Ka-shing,Hong Kong,80,16.2,Hong Kong,2009
Michael Bloomberg,United States,67,16,United States,2009
Stefan Persson,Sweden,61,14.5,Sweden,2009
Charles Koch,United States,73,14,United States,2009
David Koch,United States,68,14,United States,2009
Liliane Bettencourt,France,86,13.4,France,2009
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,54,13.3,Saudi Arabia,2009
Michael Otto & family,Germany,65,13.2,Germany,2009
David Thomson & family,Canada,51,13,Canada,2009
Michael Dell,United States,44,12.3,United States,2009
Donald Bren,United States,76,12,United States,2009
Sergey Brin,United States,35,12,United States,2009
Larry Page,United States,36,12,United States,2009
Steven Ballmer,United States,53,11,United States,2009
Gerald Cavendish Grosvenor & family,United Kingdom,57,11,United Kingdom,2009
George Soros,United States,78,11,United States,2009
Paul Allen,United States,56,10.5,United States,2009
Kwok family,Hong Kong,n/a,10.5,Hong Kong,2009
Anil Ambani,India,49,10.1,India,2009
Abigail Johnson,United States,47,10,United States,2009
Susanne Klatten,Germany,46,10,Germany,2009
Ronald Perelman,United States,66,10,United States,2009
Hans Rausing,Sweden,83,10,United Kingdom,2009
Birgit Rausing & family,Sweden,85,9.9,Switzerland,2009
Michele Ferrero & family,Italy,82,9.5,Monaco,2009
Mikhail Prokhorov,Russia,43,9.5,Russia,2009
Jack Taylor & family,United States,86,9.5,United States,2009
Mohammed Al Amoudi,Saudi Arabia,63,9,Saudi Arabia,2009
Anne Cox Chambers,United States,89,9,United States,2009
Carl Icahn,United States,73,9,United States,2009
George Kaiser,United States,66,9,United States,2009
Lee Shau Kee,Hong Kong,81,9,Hong Kong,2009
Forrest Mars Jr,United States,77,9,United States,2009
Jacqueline Mars,United States,69,9,United States,2009
John Mars,United States,72,9,United States,2009
Roman Abramovich,Russia,42,8.5,Russia,2009
Ernesto Bertarelli,Switzerland,43,8.2,Switzerland,2009
Philip Knight,United States,71,8.2,United States,2009
Nasser Al-Kharafi & family,Kuwait,65,8.1,Kuwait,2009
James Simons,United States,70,8,United States,2009
Alain & Gerard Wertheimer,France,n/a,8,n/a,2009
Abdul Aziz Al Ghurair & family,United Arab Emirates,55,7.8,United Arab Emirates,2009
Vagit Alekperov,Russia,58,7.8,Russia,2009
Sunil Mittal & family,India,51,7.7,India,2009
Francois Pinault & family,France,72,7.6,France,2009
Eike Batista,Brazil,52,7.5,Brazil,2009
Mohamed Bin Issa Al Jaber,Saudi Arabia,50,7,Saudi Arabia,2009
Maan Al-Sanea,Saudi Arabia,54,7,Saudi Arabia,2009
Edward Johnson III,United States,78,7,United States,2009
Ananda Krishnan,Malaysia,70,7,Malaysia,2009
Robert Kuok,Malaysia,85,7,Hong Kong,2009
Joseph Safra,Brazil,70,7,Brazil,2009
Jeffrey Bezos,United States,45,6.8,United States,2009
August von Finck,Germany,79,6.7,Switzerland,2009
Silvio Berlusconi & family,Italy,72,6.5,Italy,2009
Leonardo Del Vecchio,Italy,73,6.3,Italy,2009
Curt Engelhorn,Germany,82,6.3,Switzerland,2009
Mikhail Fridman,Russia,44,6.3,Russia,2009
Sulaiman Al Rajhi,Saudi Arabia,89,6.2,Saudi Arabia,2009
James Goodnight,United States,66,6.1,United States,2009
Iris Fontbona & family,Chile,n/a,6,Chile,2009
Petr Kellner,Czech Republic,44,6,Czech Republic,2009
John Kluge,United States,94,6,United States,2009
John Paulson,United States,53,6,United States,2009
Tadashi Yanai & family,Japan,60,6,Japan,2009
Dan Duncan,United States,76,5.9,United States,2009
Eliodoro Matte & family,Chile,63,5.9,Chile,2009
Alberto Bailleres & family,Mexico,76,5.7,Mexico,2009
Azim Premji,India,63,5.7,India,2009
Hansjorg Wyss,Switzerland,74,5.7,United States,2009
Shashi & Ravi Ruia,India,65,5.6,India,2009
Steven Cohen,United States,53,5.5,United States,2009
