"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","url.bio.forbes","url.image"
"687",2001,"Billionaires","Charoen Sirivadhanabhakdi","Sirivadhanabhakdi",239.078,73,"drinks, real estate","Food and Beverage","M","Thailand",2018-02-13 23:10:01,18229.882,65,65,"//specials-images.forbesimg.com/imageserve/5925f58531358e03e55977c0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=113&cropY2=857",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/charoen-sirivadhanabhakdi","http://i.forbesimg.com/media/lists/people/charoen-sirivadhanabhakdi_200x200.jpg"
"688",2001,"Billionaires","Chase Coleman III","Coleman",0,42,"hedge fund","Finance and Investments","M","United States",2018-02-13 23:10:01,2160,1125,1125,"//specials-images.forbesimg.com/imageserve/59d6653f31358e542c035e9c/416x416.jpg?background=000000&cropX1=1057&cropX2=2137&cropY1=315&cropY2=1396","NY","New York","Founder, Tiger Global Management",NA,NA,NA,FALSE,"http://www.forbes.com/profile/chase-coleman-iii","http://i.forbesimg.com/media/lists/people/chase-coleman-iii_200x200.jpg"
"689",2001,"Billionaires","Chatchai Kaewbootta","Kaewbootta",4.489,66,"finance","Finance and Investments","M","Thailand",2018-02-13 23:10:01,1121.987,1886,1886,"//specials-images.forbesimg.com/imageserve/55650247e4b0bacdbd75563b/416x416.jpg?background=000000&cropX1=32&cropX2=744&cropY1=68&cropY2=780",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chatchai-kaewbootta","http://i.forbesimg.com/media/lists/people/chatchai-kaewbootta_200x200.jpg"
"690",2001,"Billionaires","Chatri Sophonpanich & family","Sophonpanich",-0.949,83,"banking","Finance and Investments","M","Thailand",2018-02-13 23:10:01,1538.931,1517,1517,"//specials-images.forbesimg.com/imageserve/5927113331358e03e5597fb4/416x416.jpg?background=000000&cropX1=27&cropX2=742&cropY1=111&cropY2=826",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chatri-sophonpanich","http://i.forbesimg.com/media/lists/people/chatri-sophonpanich_200x200.jpg"
"691",2001,"Billionaires","Che Fengsheng","Che",13.935,55,"pharmaceuticals","Healthcare","M","China",2018-02-13 23:10:01,1543.868,1509,1509,NA,NA,"Hainan",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/che-fengsheng","http://i.forbesimg.com/media/lists/people/che-fengsheng_200x200.jpg"
"692",2001,"Billionaires","Che Jianxing","Che",-21.903,51,"furniture retailing","Fashion & Retail","M","China",2018-02-13 23:10:01,3995.182,558,558,"//specials-images.forbesimg.com/imageserve/589ce0f74bbe6f0e55866685/416x416.jpg?background=000000&cropX1=85&cropX2=744&cropY1=79&cropY2=738",NA,"Shanghai",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/che-jianxing","http://i.forbesimg.com/media/lists/people/che-jianxing_200x200.jpg"
"693",2001,"Billionaires","Chen Bang","Chen",6.51,52,"hospitals","Healthcare","M","China",2018-02-13 23:10:01,3714.713,603,603,"//specials-images.forbesimg.com/imageserve/c0e911b1254c2a8ff552dcb819a51b50/416x416.jpg?background=000000&cropX1=6&cropX2=739&cropY1=61&cropY2=794",NA,"Hunan",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-bang","http://i.forbesimg.com/media/lists/people/chen-bang_200x200.jpg"
"694",2001,"Billionaires","Chen Dejun","Chen",16.446,47,"package delivery","Logistics","M","China",2018-02-13 23:10:01,1689.18,1404,1404,"//specials-images.forbesimg.com/imageserve/589cebf1a7ea431f321927c9/416x416.jpg?background=000000&cropX1=147&cropX2=511&cropY1=243&cropY2=607",NA,"Shanghai",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-dejun","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"695",2001,"Billionaires","Chen Dongsheng","Chen",0,60,"insurance","Finance and Investments","M","China",2018-02-13 23:10:01,3798.339,588,588,"//specials-images.forbesimg.com/imageserve/5a05ff0b4bbe6f37dda22ab7/416x416.jpg?background=000000&cropX1=1661&cropX2=4997&cropY1=14&cropY2=3350",NA,"Beijing",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-dongsheng","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"696",2001,"Billionaires","Chen Fashu","Chen",6.173,57,"investments","Finance and Investments","M","China",2018-02-13 23:10:01,2679.188,887,887,"//specials-images.forbesimg.com/imageserve/5a061a6b31358e542c051d52/416x416.jpg?background=000000&cropX1=400&cropX2=2723&cropY1=5&cropY2=2326",NA,"Fujian",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-fashu","http://i.forbesimg.com/media/lists/people/chen-fashu_200x200.jpg"
"697",2001,"Billionaires","Chen Hua","Chen",-1.013,52,"real estate","Real Estate","M","China",2018-02-13 23:10:01,2347.378,1044,1044,"//specials-images.forbesimg.com/imageserve/589ce2114bbe6f0e558666f7/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=103&cropY2=844",NA,"Guangdong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-hua-1","http://i.forbesimg.com/media/lists/people/chen-hua-1_200x200.jpg"
"698",2001,"Billionaires","Chen Jianhua","Chen",79.242,47,"chemicals","Manufacturing","M","China",2018-02-13 23:10:01,1982.711,1229,1229,"//specials-images.forbesimg.com/imageserve/589ce89aa7ea431f3219275d/416x416.jpg?background=000000&cropX1=68&cropX2=694&cropY1=192&cropY2=819",NA,"Jiangsu",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-jianhua","http://i.forbesimg.com/media/lists/people/chen-jianhua_200x200.jpg"
"699",2001,"Billionaires","Chen Jinxia","Chen",1.262,49,"investments","Finance and Investments","F","China",2018-02-13 23:10:01,2342.583,1048,1048,NA,NA,"Shanghai",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-jinxia","http://i.forbesimg.com/media/lists/people/no-pic-female_200x200.jpg"
"700",2001,"Billionaires","Chen Lip Keong","Chen",67.168,70,"casinos, property, energy","Gambling & Casinos","M","Malaysia",2018-02-13 23:10:01,3411.669,675,675,"//specials-images.forbesimg.com/imageserve/58b5dcf9a7ea431f321a57a7/416x416.jpg?background=000000&cropX1=55&cropX2=633&cropY1=160&cropY2=739",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-lip-keong","http://i.forbesimg.com/media/lists/people/chen-lip-keong_200x200.jpg"
"701",2001,"Billionaires","Chen Liying","Chen",91.634,42,"package delivery","Logistics","F","China",2018-02-13 23:10:01,1510.681,1542,1542,NA,NA,"Shanghai",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-liying","http://i.forbesimg.com/media/lists/people/no-pic-female_200x200.jpg"
"702",2001,"Billionaires","Chen Qingzhou & family","Chen",56.128,52,"communications equipment","Telecom","M","China",2018-02-13 23:10:01,1584.968,1473,1473,NA,NA,"Guangdong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-qingzhou","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"703",2001,"Billionaires","Chen Qixing","Chen",-7.044,58,"electronics components","Technology","M","China",2018-02-13 23:10:01,1083.552,1913,1913,NA,NA,"Guangdong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-qixing","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"704",2001,"Billionaires","Chen Tianqiao","Chen",-3.03,44,"online games","Technology","M","China",2018-02-13 23:10:01,1440.679,1599,1599,NA,"CA","California",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-tianqiao","http://i.forbesimg.com/media/lists/people/chen-tianqiao_200x200.jpg"
