"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","title.company","headquarters","state","net_worth.millions","position","rank","url.bio.forbes","url.image"
"14",2000,"Billionaires","Wang Wei","Wang",273.91,48,"package delivery","Service","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0b1e5a31358e542c053e81/416x416.jpg?background=000000&cropX1=0&cropX2=1996&cropY1=4&cropY2=2001","Chairman, SF Express",NA,"Guangdong",18797.171,64,64,"http://www.forbes.com/profile/wang-wei","http://i.forbesimg.com/media/lists/people/wang-wei_200x200.jpg"
"15",2000,"Billionaires","William Ding","Ding",303.43,46,"online games","Technology","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05ee844bbe6f37dda228e8/416x416.jpg?background=000000&cropX1=660&cropX2=3091&cropY1=12&cropY2=2441","Founder and CEO, Netease",NA,"Guangdong",17874.166,69,69,"http://www.forbes.com/profile/william-ding","http://i.forbesimg.com/media/lists/people/william-ding_200x200.jpg"
"16",2000,"Billionaires","Takemitsu Takizaki","Takizaki",-56.065,72,"sensors","Manufacturing","M","Japan",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854",NA,NA,NA,17139.357,75,75,"http://www.forbes.com/profile/takemitsu-takizaki","http://i.forbesimg.com/media/lists/people/takemitsu-takizaki_200x200.jpg"
"17",2000,"Billionaires","Stefan Persson","Persson",70.035,70,"H&M","Fashion & Retail","M","Sweden",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a28a5a4bbe6f0e5586bc2a/416x416.jpg?background=000000&cropX1=0&cropX2=652&cropY1=121&cropY2=774","Chairman, H&#38;M",NA,NA,17004.283,76,76,"http://www.forbes.com/profile/stefan-persson","http://i.forbesimg.com/media/lists/people/stefan-persson_200x200.jpg"
"18",2000,"Billionaires","Vagit Alekperov","Alekperov",265.419,67,"oil","Energy","M","Russia",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a273724bbe6f0e5586bae2/416x416.jpg?background=000000&cropX1=158&cropX2=604&cropY1=187&cropY2=633",NA,NA,NA,16917.995,77,77,"http://www.forbes.com/profile/vagit-alekperov","http://i.forbesimg.com/media/lists/people/vagit-alekperov_200x200.jpg"
"19",2000,"Billionaires","Thomas & Raymond Kwok","Kwok",57.218,NA,"real estate","Real Estate","M","Hong Kong",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915",NA,NA,NA,16429.308,82,82,"http://www.forbes.com/profile/thomas-raymond-kwok","http://i.forbesimg.com/media/lists/people/thomas-raymond-kwok_200x200.jpg"
"20",2000,"Billionaires","Vladimir Potanin","Potanin",292.801,57,"metals","Metals & Mining","M","Russia",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58cb22a831358e1a35ad2a44/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=166&cropY2=910",NA,NA,NA,16308.107,84,84,"http://www.forbes.com/profile/vladimir-potanin","http://i.forbesimg.com/media/lists/people/vladimir-potanin_200x200.jpg"
"21",2000,"Billionaires","Zhang Zhidong","Zhang",478.686,46,"internet media","Technology","M","China",2018-02-13 23:10:01,NA,NA,NA,"http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817","Cofounder, Tencent Holdings",NA,"Guangdong",16163.551,86,86,"http://www.forbes.com/profile/zhang-zhidong","http://i.forbesimg.com/media/lists/people/zhang-zhidong_200x200.jpg"
"22",2000,"Billionaires","Viktor Vekselberg","Vekselberg",-27.909,60,"metals, energy","Energy","M","Russia",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a274b6a7ea431f32197528/416x416.jpg?background=000000&cropX1=85&cropX2=639&cropY1=79&cropY2=633",NA,NA,NA,14502.838,101,101,"http://www.forbes.com/profile/viktor-vekselberg","http://i.forbesimg.com/media/lists/people/viktor-vekselberg_200x200.jpg"
"23",2000,"Billionaires","Shiv Nadar","Nadar",0,72,"software services","Technology","M","India",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59cbfd3a4bbe6f37dd9f8f21/416x416.jpg?background=000000&cropX1=277&cropX2=2844&cropY1=11&cropY2=2575",NA,NA,NA,14290.432,102,102,"http://www.forbes.com/profile/shiv-nadar","http://i.forbesimg.com/media/lists/people/shiv-nadar_200x200.jpg"
"24",2000,"Billionaires","Steve Cohen","Cohen",0,61,"hedge funds","Finance and Investments","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d55e9b31358e542c03548d/416x416.jpg?background=000000&cropX1=376&cropX2=2938&cropY1=69&cropY2=2629","Founder, Point72 Asset Management","CT","Connecticut",13000,114,114,"http://www.forbes.com/profile/steve-cohen","http://i.forbesimg.com/media/lists/people/steve-cohen_200x200.jpg"
"25",2000,"Billionaires","Stephen Schwarzman","Schwarzman",61.406,70,"investments","Finance and Investments","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d560a8a7ea436b47b37189/416x416.jpg?background=000000&cropX1=1295&cropX2=3190&cropY1=523&cropY2=2417","Chairman and CEO, Blackstone Group","NY","New York",12777.55,118,118,"http://www.forbes.com/profile/stephen-schwarzman","http://i.forbesimg.com/media/lists/people/stephen-schwarzman_200x200.jpg"
"26",2000,"Billionaires","Wang Wenyin","Wang",0,50,"mining, copper products","Metals & Mining","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/e94afbcadb087101242c43af4ece6485/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=0&cropY2=744","Chairman, Amer International Group Company Limited",NA,"Guangdong",12023.562,128,128,"http://www.forbes.com/profile/wang-wenyin","http://i.forbesimg.com/media/lists/people/wang-wenyin_200x200.jpg"
